"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-3839DACECBD75EA5061C","CAMP-04C2A3B9108C0F52","CUST04896","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-6C44D47D356DDBB54B0B","CAMP-04C2A3B9108C0F52","CUST05328","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-599A52FEDEC2B8FC5581","CAMP-04C2A3B9108C0F52","CUST05349","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-AA16F8C59778856A13B2","CAMP-04C2A3B9108C0F52","CUST05352","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-6C33FBDA9679D292BE32","CAMP-04C2A3B9108C0F52","CUST05369","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-7D091D627EA37AB1A879","CAMP-04C2A3B9108C0F52","CUST05391","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-28BD5F96570BE7752B57","CAMP-04C2A3B9108C0F52","CUST05406","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-7831CFF465B707E6EA45","CAMP-04C2A3B9108C0F52","CUST05446","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-7C9E9774C966679F3855","CAMP-04C2A3B9108C0F52","CUST05449","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-81A02BF2A52E2E486201","CAMP-04C2A3B9108C0F52","CUST05471","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-C03208782FD4A624E989","CAMP-04C2A3B9108C0F52","CUST05492","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-F7919E067DCA2A26D172","CAMP-04C2A3B9108C0F52","CUST05494","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-87ED01FA0DC7C9E04B3E","CAMP-04C2A3B9108C0F52","CUST05539","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-A9350849B8694958D4B9","CAMP-04C2A3B9108C0F52","CUST05554","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-50272B22D8722F9FDEB7","CAMP-04C2A3B9108C0F52","CUST05582","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-4296278EAD5C72194D57","CAMP-04C2A3B9108C0F52","CUST05605","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-276D08AC8095C9E17003","CAMP-04C2A3B9108C0F52","CUST05631","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-ED260F3B88B857573A71","CAMP-04C2A3B9108C0F52","CUST05670","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-8CD07DC32803D0CD1291","CAMP-04C2A3B9108C0F52","CUST05704","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-E3CE800548E42DA70BD0","CAMP-04C2A3B9108C0F52","CUST05707","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-B12E67DA1AEB8CB3DBCC","CAMP-04C2A3B9108C0F52","CUST05730","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-4B77DFA79603FDBD7505","CAMP-04C2A3B9108C0F52","CUST05735","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-DDC27C5D2F129568D676","CAMP-04C2A3B9108C0F52","CUST05749","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-729183105E7FA598C762","CAMP-04C2A3B9108C0F52","CUST05750","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-5910824CE125395730D5","CAMP-04C2A3B9108C0F52","CUST05317","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-24FCE32844FD3A7556EF","CAMP-04C2A3B9108C0F52","CUST05271","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-2E2E31933C4DF241BD87","CAMP-04C2A3B9108C0F52","CUST05266","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-937C63831A23675336C6","CAMP-04C2A3B9108C0F52","CUST05248","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-2BBDBA27635971E88902","CAMP-04C2A3B9108C0F52","CUST04925","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-82BDAD9272B815F3089D","CAMP-04C2A3B9108C0F52","CUST04928","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-675195A654CFD8514800","CAMP-04C2A3B9108C0F52","CUST04931","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-89A77E15B99F257ED946","CAMP-04C2A3B9108C0F52","CUST04943","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-96986B15AC86A9BB90F6","CAMP-04C2A3B9108C0F52","CUST04947","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-3B9B5E843FCD3995094F","CAMP-04C2A3B9108C0F52","CUST05025","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-83A1CB98BD556365E67B","CAMP-04C2A3B9108C0F52","CUST05038","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-98C5B3A2222C5C2029A0","CAMP-04C2A3B9108C0F52","CUST05047","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-CB2BA3ABCF512C31078E","CAMP-04C2A3B9108C0F52","CUST05059","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-D7B79E39504BE3689133","CAMP-04C2A3B9108C0F52","CUST05063","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-72605CA20D15CB376FB3","CAMP-04C2A3B9108C0F52","CUST05064","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-A5DE119E5A6740E8F4BA","CAMP-04C2A3B9108C0F52","CUST05758","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-1F8DF221714B71647EAA","CAMP-04C2A3B9108C0F52","CUST05084","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-F8FE5F0536D4D3040407","CAMP-04C2A3B9108C0F52","CUST05126","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-298526D2257089EF54B5","CAMP-04C2A3B9108C0F52","CUST05154","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-9257647FB7CB3BF2BF72","CAMP-04C2A3B9108C0F52","CUST05166","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-839136C584DAEB2634A7","CAMP-04C2A3B9108C0F52","CUST05177","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-9B16DBB8842F2925A27C","CAMP-04C2A3B9108C0F52","CUST05194","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-05AFC1F0D1F4170F70A9","CAMP-04C2A3B9108C0F52","CUST05202","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-23C93E9F4BE00DFFF13B","CAMP-04C2A3B9108C0F52","CUST05204","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-BF4A9A0A07DE62281C2B","CAMP-04C2A3B9108C0F52","CUST05215","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-3128086F442921F1B3FE","CAMP-04C2A3B9108C0F52","CUST05220","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-5534AA1CD2ADBBA0687B","CAMP-04C2A3B9108C0F52","CUST05225","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-4FA6CCD5FC3A1722B3FD","CAMP-04C2A3B9108C0F52","CUST05228","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-AC5FE58A36E6429CAC27","CAMP-04C2A3B9108C0F52","CUST05110","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-243191037E306993359E","CAMP-04C2A3B9108C0F52","CUST04893","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-6A93284EEDABEBF1D0E9","CAMP-04C2A3B9108C0F52","CUST05759","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-5BE5A761AB2014A89ADD","CAMP-04C2A3B9108C0F52","CUST05778","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-D809AD7A9B7D53CBB50B","CAMP-04C2A3B9108C0F52","CUST06353","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-5DA3319879FC0B009BBE","CAMP-04C2A3B9108C0F52","CUST06362","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-69DC4F05DAECA4849094","CAMP-04C2A3B9108C0F52","CUST06368","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-F7171561D13F66041BE1","CAMP-04C2A3B9108C0F52","CUST06383","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-DFAE6472F64538F62F1E","CAMP-04C2A3B9108C0F52","CUST06390","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-1127CDB432DBFF7465B3","CAMP-04C2A3B9108C0F52","CUST06422","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-5554759F7994BD6BE7DD","CAMP-04C2A3B9108C0F52","CUST06450","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-D12391F3C186D6AD7B51","CAMP-04C2A3B9108C0F52","CUST06476","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-49C3E60FF06D122649AB","CAMP-04C2A3B9108C0F52","CUST06477","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-D37715856EF6BB7C8300","CAMP-04C2A3B9108C0F52","CUST06497","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-222C7AC894374425935B","CAMP-04C2A3B9108C0F52","CUST06510","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-D33A84650E57E3804202","CAMP-04C2A3B9108C0F52","CUST06534","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-48C23F68761B3BDF3A27","CAMP-04C2A3B9108C0F52","CUST06541","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-F6EA653B370985551F5F","CAMP-04C2A3B9108C0F52","CUST06548","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
"COMM-A2F7B08327EA1CA0DF44","CAMP-04C2A3B9108C0F52","CUST06551","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:14:04Z"
