"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-3E624EF5C899158A216A","CAMP-09EFC5D0A6B11499","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-B5D688B130912C843C5B","CAMP-09EFC5D0A6B11499","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-BE23E9EDF5B5806C157C","CAMP-09EFC5D0A6B11499","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-6C9A0708B7E3214F86EA","CAMP-09EFC5D0A6B11499","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-162CECAD57BFF24B4876","CAMP-09EFC5D0A6B11499","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-EEFA8C85980E59264D2D","CAMP-09EFC5D0A6B11499","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-BF43ECBE007465992390","CAMP-09EFC5D0A6B11499","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-A1E231174AA063594423","CAMP-09EFC5D0A6B11499","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-03A5EF89C1989A848136","CAMP-09EFC5D0A6B11499","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-876F65AEE6F8BE36ADAA","CAMP-09EFC5D0A6B11499","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-7E675625ACF680454F7A","CAMP-09EFC5D0A6B11499","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-330AD0BF749878437D73","CAMP-09EFC5D0A6B11499","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-7ED44F85A41054757909","CAMP-09EFC5D0A6B11499","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-F378E9257AB5282F33F5","CAMP-09EFC5D0A6B11499","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
"COMM-33175745D61463B154E0","CAMP-09EFC5D0A6B11499","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T05:19:48Z"
