"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-42C28D13D74485838DE7","CAMP-0E9A1109BE979167","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-C1AF455C59AB4D8924BB","CAMP-0E9A1109BE979167","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-E5FD6FC5E995961DCC0C","CAMP-0E9A1109BE979167","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-5153CC3C1D9D43F20D75","CAMP-0E9A1109BE979167","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-683815259A3E94345383","CAMP-0E9A1109BE979167","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-9B0D2093702F652B34E0","CAMP-0E9A1109BE979167","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-AB42925AD9D3AAEB8DDB","CAMP-0E9A1109BE979167","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-A77DEA9F27B4FFE27170","CAMP-0E9A1109BE979167","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-608311B049435026F38A","CAMP-0E9A1109BE979167","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-125288F4537A27D32558","CAMP-0E9A1109BE979167","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-A0002B7D232B22056FF0","CAMP-0E9A1109BE979167","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-03D8D14D110A9A7E4993","CAMP-0E9A1109BE979167","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-58D37846A8D199A8E7B8","CAMP-0E9A1109BE979167","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-DE7E8CEE4BE4D4B41F8E","CAMP-0E9A1109BE979167","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-0A0E8189A92D8A1EE6B1","CAMP-0E9A1109BE979167","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-1F8E862A4678B693BA8A","CAMP-0E9A1109BE979167","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
"COMM-7EC46299853F2D3D9117","CAMP-0E9A1109BE979167","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:56:13Z"
