"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-DF5D73A11737EE5825EE","CAMP-12A316A7BA193C1B","CUST00007","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-AE37224DD1EB2E585320","CAMP-12A316A7BA193C1B","CUST05072","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-0178DD6A9AD8DEE48DA4","CAMP-12A316A7BA193C1B","CUST05067","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-275551A01002222EAE5F","CAMP-12A316A7BA193C1B","CUST05060","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-091625517AD37CD9B0B8","CAMP-12A316A7BA193C1B","CUST05053","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-D64433BFD6D02A824765","CAMP-12A316A7BA193C1B","CUST05040","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-9567DF30E01CD53CC060","CAMP-12A316A7BA193C1B","CUST05037","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-9C9622E604261A243086","CAMP-12A316A7BA193C1B","CUST05030","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-8846BE233C53496C1E20","CAMP-12A316A7BA193C1B","CUST05029","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-EE5F79A1A75195733EBA","CAMP-12A316A7BA193C1B","CUST05021","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-F1221A3BE16D65107514","CAMP-12A316A7BA193C1B","CUST05001","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-5A3787B83FCACD006A98","CAMP-12A316A7BA193C1B","CUST05074","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
"COMM-270064E088F5D1D22564","CAMP-12A316A7BA193C1B","CUST04997","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:14:25Z"
