"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-70B108C3398CB101F321","CAMP-150DF943AEDE5FEF","CUST00001","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-81019C3E4BC700878209","CAMP-150DF943AEDE5FEF","CUST05964","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-9D5510687E7C89356FB3","CAMP-150DF943AEDE5FEF","CUST05962","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-BF466A7AB78FA8D932C6","CAMP-150DF943AEDE5FEF","CUST05960","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-4B34F590990645DDBD7A","CAMP-150DF943AEDE5FEF","CUST05953","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-7C4E3CB0499A474CD5A1","CAMP-150DF943AEDE5FEF","CUST05951","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-0AB94398F6A8D05415DB","CAMP-150DF943AEDE5FEF","CUST05946","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-CF8C8F2BCABE170DF55C","CAMP-150DF943AEDE5FEF","CUST05945","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-2B5225F1C23482726CE2","CAMP-150DF943AEDE5FEF","CUST05944","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-90B29F7BD0C367E34ADD","CAMP-150DF943AEDE5FEF","CUST05943","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-4DE7EFDDECE6406C6983","CAMP-150DF943AEDE5FEF","CUST05942","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-6D2D52C05C99ED8B83FF","CAMP-150DF943AEDE5FEF","CUST05940","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-9E554FD8C0649B0733D5","CAMP-150DF943AEDE5FEF","CUST05939","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-5D122E39FB670708D710","CAMP-150DF943AEDE5FEF","CUST05938","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-38140E7970C41BA984F3","CAMP-150DF943AEDE5FEF","CUST05937","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-6486F109DDDE52E0D6D6","CAMP-150DF943AEDE5FEF","CUST05936","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-3F670A6EE0AEF771E3AE","CAMP-150DF943AEDE5FEF","CUST05935","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-D4825042131921F823FA","CAMP-150DF943AEDE5FEF","CUST05934","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-6AE4376C75384A8361D4","CAMP-150DF943AEDE5FEF","CUST05933","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-3468306BD64542AC8947","CAMP-150DF943AEDE5FEF","CUST05931","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-323382203512D212E08B","CAMP-150DF943AEDE5FEF","CUST05930","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-6CFB45378F0CF80E0D4D","CAMP-150DF943AEDE5FEF","CUST05929","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-00344E70BDFCD388A5BB","CAMP-150DF943AEDE5FEF","CUST05966","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-36FEFEEA44B6949AB8A5","CAMP-150DF943AEDE5FEF","CUST05927","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-981F398E926B6CBD88F3","CAMP-150DF943AEDE5FEF","CUST05967","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-AC0378CA1AE769B6B17E","CAMP-150DF943AEDE5FEF","CUST05971","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
"COMM-1FD865B707B4EF5C6E6D","CAMP-150DF943AEDE5FEF","CUST06010","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:57:31Z"
