"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-AE3D86277E913D875CB7","CAMP-1537AC5C0D8C69A5","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-98027CDE6CA16FED1030","CAMP-1537AC5C0D8C69A5","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-B08126E62EF9304F94B6","CAMP-1537AC5C0D8C69A5","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-A8EBFC51608162E02615","CAMP-1537AC5C0D8C69A5","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-137D936958DCCC10DDAA","CAMP-1537AC5C0D8C69A5","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-45C35DE7476A2DCEAD80","CAMP-1537AC5C0D8C69A5","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-216DD76FC0BF71DF50E9","CAMP-1537AC5C0D8C69A5","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-6E82457D46EBEF098298","CAMP-1537AC5C0D8C69A5","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-4801D9B8E7F4DF6241AF","CAMP-1537AC5C0D8C69A5","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-07D691191146CE050B5C","CAMP-1537AC5C0D8C69A5","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-B904EAD33D2418D2BAF8","CAMP-1537AC5C0D8C69A5","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-998E46D3B7908A09266C","CAMP-1537AC5C0D8C69A5","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-3B4B15148F8AE7D534B3","CAMP-1537AC5C0D8C69A5","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-D0A10F2030886BD2D6A5","CAMP-1537AC5C0D8C69A5","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-A9478F1ACE6D91A4B44E","CAMP-1537AC5C0D8C69A5","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-93AC59C8FE9EA94F4F88","CAMP-1537AC5C0D8C69A5","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-FA53FDBC7D50D4DFA079","CAMP-1537AC5C0D8C69A5","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-7EA81A32D4FF52F6136A","CAMP-1537AC5C0D8C69A5","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-6163DDC658BA42B07C1B","CAMP-1537AC5C0D8C69A5","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-68A25B33F8CF3EAFF7BF","CAMP-1537AC5C0D8C69A5","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-C750EC9CE4DB2B2CA1FA","CAMP-1537AC5C0D8C69A5","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-F0D65653ADF333C8BA5B","CAMP-1537AC5C0D8C69A5","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-F8C717F1EF8DBED9E626","CAMP-1537AC5C0D8C69A5","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-64B970B8417CF66F19FD","CAMP-1537AC5C0D8C69A5","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-F93B5C0B8A1FB251404B","CAMP-1537AC5C0D8C69A5","CUST05909","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-94B4E43FB029DECE9D22","CAMP-1537AC5C0D8C69A5","CUST05925","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-BE81D6FCF13461556C9A","CAMP-1537AC5C0D8C69A5","CUST05929","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-599E15F541B49BAE226E","CAMP-1537AC5C0D8C69A5","CUST05930","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-97D0E690B6575EDBB826","CAMP-1537AC5C0D8C69A5","CUST05974","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-5780EF918C92B2F54B43","CAMP-1537AC5C0D8C69A5","CUST05931","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-33A95D682A74B2F3188C","CAMP-1537AC5C0D8C69A5","CUST05936","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-644DBF42826200ACD19D","CAMP-1537AC5C0D8C69A5","CUST05939","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-C6CA20DAAABAC09CAD12","CAMP-1537AC5C0D8C69A5","CUST05942","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-A6A822435374FEBF2DAD","CAMP-1537AC5C0D8C69A5","CUST05944","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-6A6B4B8B885A73D734C2","CAMP-1537AC5C0D8C69A5","CUST05945","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-5362D461115CBDD1730F","CAMP-1537AC5C0D8C69A5","CUST05953","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-2575CCDE2D9205EA52A5","CAMP-1537AC5C0D8C69A5","CUST05964","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-EFEE85628E2959426D68","CAMP-1537AC5C0D8C69A5","CUST05935","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-31EC5462DC71B4FF1FF7","CAMP-1537AC5C0D8C69A5","CUST06071","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-0A42ECADAF96DF3D286F","CAMP-1537AC5C0D8C69A5","CUST06076","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-8209A0EB674AAC494C02","CAMP-1537AC5C0D8C69A5","CUST06078","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-C1B32D697DB34B4B5C9C","CAMP-1537AC5C0D8C69A5","CUST06192","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-9BE355A74BD2DA18DC6B","CAMP-1537AC5C0D8C69A5","CUST06198","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-FC7D19FFFE553452B940","CAMP-1537AC5C0D8C69A5","CUST06206","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-6F81D773C6F275A7C96D","CAMP-1537AC5C0D8C69A5","CUST06209","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-CE0E3985503BD4E944B0","CAMP-1537AC5C0D8C69A5","CUST06215","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-24BDCC85021527DD8C28","CAMP-1537AC5C0D8C69A5","CUST06222","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-7C474EB7EBDEDB3216BF","CAMP-1537AC5C0D8C69A5","CUST06225","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-2968DC19A13085146DD6","CAMP-1537AC5C0D8C69A5","CUST06191","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-D0FCE8C2087AC957D505","CAMP-1537AC5C0D8C69A5","CUST06243","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-1ADC042A8F62C197B758","CAMP-1537AC5C0D8C69A5","CUST06253","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-4C39556A42A22248A270","CAMP-1537AC5C0D8C69A5","CUST06255","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-3B4DAB2634BC43B5822B","CAMP-1537AC5C0D8C69A5","CUST06258","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-94B4667067A466F270DE","CAMP-1537AC5C0D8C69A5","CUST06259","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-BB5961B542679A277D62","CAMP-1537AC5C0D8C69A5","CUST06270","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-596BFBCCA2891EADCB5F","CAMP-1537AC5C0D8C69A5","CUST06276","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-E9ACDE3D99D2F44A75CC","CAMP-1537AC5C0D8C69A5","CUST06277","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-62130D299143EF9A78B3","CAMP-1537AC5C0D8C69A5","CUST06244","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-B630EA2FCE2EEDE5DF60","CAMP-1537AC5C0D8C69A5","CUST06185","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-98C256D5555BD38389AA","CAMP-1537AC5C0D8C69A5","CUST06179","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-137800D310ABD2EF2D51","CAMP-1537AC5C0D8C69A5","CUST06165","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-5857C95C11B4B9D7E472","CAMP-1537AC5C0D8C69A5","CUST06080","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-B8A1ABF7641F4955ABBA","CAMP-1537AC5C0D8C69A5","CUST06083","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-A980CB160D9A59474ABE","CAMP-1537AC5C0D8C69A5","CUST06097","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-C9414BF8EE77FCB63AE2","CAMP-1537AC5C0D8C69A5","CUST06098","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-ED51D6301F9C3EC9D43C","CAMP-1537AC5C0D8C69A5","CUST06102","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-3B285CAB342E2F478989","CAMP-1537AC5C0D8C69A5","CUST06104","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-4731B6B871E70ED03A6C","CAMP-1537AC5C0D8C69A5","CUST06109","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-986335179B7883F3FF20","CAMP-1537AC5C0D8C69A5","CUST06110","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-80A2EFA7C89934C820C9","CAMP-1537AC5C0D8C69A5","CUST06112","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-F59DBE24E4E2B6BEF5E1","CAMP-1537AC5C0D8C69A5","CUST06119","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-287AFD81757C1BC67AEF","CAMP-1537AC5C0D8C69A5","CUST06123","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-51CD0AB14D696FED2BE8","CAMP-1537AC5C0D8C69A5","CUST06135","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-5FED1AC29FC643298872","CAMP-1537AC5C0D8C69A5","CUST06142","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-A05606F2F92EDB2FBFFC","CAMP-1537AC5C0D8C69A5","CUST06149","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-0DE9B3CF8C8CB936BD6B","CAMP-1537AC5C0D8C69A5","CUST06154","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-DFB423FFAFD2EAD1E2DC","CAMP-1537AC5C0D8C69A5","CUST06159","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-6ABD95B27C08D92E3D6E","CAMP-1537AC5C0D8C69A5","CUST06164","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-C4152A3C1E633124AF8F","CAMP-1537AC5C0D8C69A5","CUST05899","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-491C4943D47228E29209","CAMP-1537AC5C0D8C69A5","CUST06289","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-482F21EE33C763DFAE1B","CAMP-1537AC5C0D8C69A5","CUST05892","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-94B137D6268DEC469CEB","CAMP-1537AC5C0D8C69A5","CUST05888","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-9E247FD457EDEFF3FB9A","CAMP-1537AC5C0D8C69A5","CUST05689","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-EEF5D9DD4EC759BFE832","CAMP-1537AC5C0D8C69A5","CUST05691","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-8FBD78164493129E49AB","CAMP-1537AC5C0D8C69A5","CUST05694","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-AFF306A565014DDD424E","CAMP-1537AC5C0D8C69A5","CUST05702","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-1F477C6E31CF9BBD409E","CAMP-1537AC5C0D8C69A5","CUST05704","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-F7952A8E4F96FA735186","CAMP-1537AC5C0D8C69A5","CUST05705","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-FA551D1692248014BD85","CAMP-1537AC5C0D8C69A5","CUST05707","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-7990CF1149FC9F90ED8F","CAMP-1537AC5C0D8C69A5","CUST05688","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-935E1053FA58C1631762","CAMP-1537AC5C0D8C69A5","CUST05710","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-60DF883F022D390E3FBF","CAMP-1537AC5C0D8C69A5","CUST05713","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-63F124887AB0D983D3AA","CAMP-1537AC5C0D8C69A5","CUST05715","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-0DEA9B513360FE53A582","CAMP-1537AC5C0D8C69A5","CUST05719","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-A3C5CD5BCEB76DBCDAC2","CAMP-1537AC5C0D8C69A5","CUST05726","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-FD0EB2849459128E6AC8","CAMP-1537AC5C0D8C69A5","CUST05730","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-A849EC18BA58A554358A","CAMP-1537AC5C0D8C69A5","CUST05735","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-D8DA182C3C408A24DA26","CAMP-1537AC5C0D8C69A5","CUST05736","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-7B4FAE75F375319CC3EB","CAMP-1537AC5C0D8C69A5","CUST05711","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
"COMM-AA4729A3CC4048BC1A72","CAMP-1537AC5C0D8C69A5","CUST05745","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:07:42Z"
