"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-83705D04B777C7AF7E65","CAMP-17C98AB4CFB1BBE0","CUST00001","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-463B8B0345D0EB17C697","CAMP-17C98AB4CFB1BBE0","CUST05964","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-AC84C7F8050B05BADB90","CAMP-17C98AB4CFB1BBE0","CUST05962","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-0AB5EDAD58CA15A1828E","CAMP-17C98AB4CFB1BBE0","CUST05960","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-2756B98BEEE6BB795EAA","CAMP-17C98AB4CFB1BBE0","CUST05953","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-9170E16C96596A0E188F","CAMP-17C98AB4CFB1BBE0","CUST05951","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-065272AB9AA3DB24223A","CAMP-17C98AB4CFB1BBE0","CUST05946","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-A3CE14C422787635B555","CAMP-17C98AB4CFB1BBE0","CUST05945","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-97E0F80CD50155EBD016","CAMP-17C98AB4CFB1BBE0","CUST05944","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-4A5956DA39938A125ED8","CAMP-17C98AB4CFB1BBE0","CUST05943","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-A751C010349BE72AA2CA","CAMP-17C98AB4CFB1BBE0","CUST05942","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-7C8B57D7B71107027264","CAMP-17C98AB4CFB1BBE0","CUST05940","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-68ECC3F55738F75B4210","CAMP-17C98AB4CFB1BBE0","CUST05939","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-10A04981ED4279892151","CAMP-17C98AB4CFB1BBE0","CUST05938","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-FFEB007BEEDAA961CE95","CAMP-17C98AB4CFB1BBE0","CUST05937","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-74723998A8C8038B2BC7","CAMP-17C98AB4CFB1BBE0","CUST05936","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-05ADCA95FE1ADC639BD7","CAMP-17C98AB4CFB1BBE0","CUST05935","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-3B6DAB2805DB92208696","CAMP-17C98AB4CFB1BBE0","CUST05934","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
"COMM-F1E619AD2DA63341595D","CAMP-17C98AB4CFB1BBE0","CUST05933","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:35:18Z"
