"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-855C8F5BF7A0B6BF4CA7","CAMP-202D8155D70A13B6","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-CFFE7BB0CCDA65F13AD2","CAMP-202D8155D70A13B6","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-54B532C974C0D6D875F4","CAMP-202D8155D70A13B6","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-6E9867F3B900810AE972","CAMP-202D8155D70A13B6","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-220EE6BFFC80C420887D","CAMP-202D8155D70A13B6","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-FA10AE8B3369EF77D424","CAMP-202D8155D70A13B6","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-E36AD41A6C5C0BAADA8D","CAMP-202D8155D70A13B6","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-C86BBB28B0C7E0913EA8","CAMP-202D8155D70A13B6","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-E476DCA5B642478BBA65","CAMP-202D8155D70A13B6","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
"COMM-81F48853003B9572A2AB","CAMP-202D8155D70A13B6","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T16:21:55Z"
