"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-182B4272B75AD813DAB4","CAMP-27443323304E703B","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-D7BC223329A84268FCD3","CAMP-27443323304E703B","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-A175B51298054D303B9D","CAMP-27443323304E703B","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-CE03CCC2E7C30F77C1D9","CAMP-27443323304E703B","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-77FC9A63C940C4F8C9E0","CAMP-27443323304E703B","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-758072DC1732A774422D","CAMP-27443323304E703B","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-FBF6AF416CB2E9818148","CAMP-27443323304E703B","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-565B3627397DB8A434D0","CAMP-27443323304E703B","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-B55E905EB967586129B0","CAMP-27443323304E703B","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-6D8CAC80371D176756EC","CAMP-27443323304E703B","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-FB22D38FC789132BC3DD","CAMP-27443323304E703B","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-99DA39F4315935E49BBF","CAMP-27443323304E703B","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-AD537E2975E9CEBBF80E","CAMP-27443323304E703B","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-99AD497DFFB3F55220E6","CAMP-27443323304E703B","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-DA93366BD59E394B7898","CAMP-27443323304E703B","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-0065CDC3E5B4E6F5071F","CAMP-27443323304E703B","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-55A6CE1B1B731726236E","CAMP-27443323304E703B","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-BA5C6CF15D9379D16AD4","CAMP-27443323304E703B","CUST06769","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-EDB8436D93753D1C4F3B","CAMP-27443323304E703B","CUST06765","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-0A4F6B673BB4F3A71F42","CAMP-27443323304E703B","CUST06762","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-6A5A2147F38DB14A0D0A","CAMP-27443323304E703B","CUST06754","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-6FB56C28F80233B0F79D","CAMP-27443323304E703B","CUST06752","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-7A88CF7EF163E1AB7A2B","CAMP-27443323304E703B","CUST06744","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-FB8898BB2C09C374E6C3","CAMP-27443323304E703B","CUST06743","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-C8DDD5ACA42A7F103203","CAMP-27443323304E703B","CUST06736","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-F9D0A7F094412D61AB3E","CAMP-27443323304E703B","CUST06729","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-DAE8E6D50DF4CDB8DE3E","CAMP-27443323304E703B","CUST06842","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-012B2242D2C6360A2978","CAMP-27443323304E703B","CUST06844","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-29E4DD987427A302DF22","CAMP-27443323304E703B","CUST06851","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-2675E38AB7F3F7398EF1","CAMP-27443323304E703B","CUST06854","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-8C2FCDEC0D9E5277C2B0","CAMP-27443323304E703B","CUST06969","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-9919CC0FAC1E84D52C55","CAMP-27443323304E703B","CUST06965","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-2B55108EA35DE847831D","CAMP-27443323304E703B","CUST06960","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-97145E3C87A26A13696E","CAMP-27443323304E703B","CUST06959","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-8703D6F8424D5EDF05FA","CAMP-27443323304E703B","CUST06954","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-05DBD10E4975658B15E8","CAMP-27443323304E703B","CUST06953","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-350BD56B7112C35DD590","CAMP-27443323304E703B","CUST06951","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-3DD9AB7EF0049B96DC9B","CAMP-27443323304E703B","CUST06948","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-973811EEC44A9C06F305","CAMP-27443323304E703B","CUST06941","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-BFCC4C3573D8D97B210F","CAMP-27443323304E703B","CUST06940","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-C04E4B325043F55A00C9","CAMP-27443323304E703B","CUST06939","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-B2FEB9448BA3D2D27EC3","CAMP-27443323304E703B","CUST06930","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-141CEE06DB406C0863D3","CAMP-27443323304E703B","CUST06716","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-6E5B36F8CB02D2663AA1","CAMP-27443323304E703B","CUST06926","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-C4FABF374FFDC2D8C2CA","CAMP-27443323304E703B","CUST06919","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-239433FE6948970EE648","CAMP-27443323304E703B","CUST06916","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-B9081DE95C517FD1BDF2","CAMP-27443323304E703B","CUST06913","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-25013D186195903CD8C5","CAMP-27443323304E703B","CUST06906","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
"COMM-E5F47461AEEAFEE87B06","CAMP-27443323304E703B","CUST06900","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:44:33Z"
