"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-0EF9DEAB0D6869875E2F","CAMP-2FC3054BBA4D4634","CUST00007","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-3184FACBEF240C05510C","CAMP-2FC3054BBA4D4634","CUST05072","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-E20D735DCC8C96055076","CAMP-2FC3054BBA4D4634","CUST05067","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-B3AFC5C43339E0C01597","CAMP-2FC3054BBA4D4634","CUST05060","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-3927C1892BF68F5C371D","CAMP-2FC3054BBA4D4634","CUST05053","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-D143FBF5C4AB77197731","CAMP-2FC3054BBA4D4634","CUST05040","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-DB8C47B3878F6D908DB0","CAMP-2FC3054BBA4D4634","CUST05037","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-B3C659F68753FC1BD9FB","CAMP-2FC3054BBA4D4634","CUST05030","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-7DAE41E924544B953066","CAMP-2FC3054BBA4D4634","CUST05029","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-69EC8A1453BD8DC97845","CAMP-2FC3054BBA4D4634","CUST05021","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-4EF363F47A21DFFEECD9","CAMP-2FC3054BBA4D4634","CUST05001","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-FF96D29017ADBF08C861","CAMP-2FC3054BBA4D4634","CUST05074","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-4AABE035F9C032647B94","CAMP-2FC3054BBA4D4634","CUST04997","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-0B1DDE22B2E761AE517F","CAMP-2FC3054BBA4D4634","CUST04993","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-6DF16A1E690BFC0AB70F","CAMP-2FC3054BBA4D4634","CUST04982","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-437EB18D333F2D997222","CAMP-2FC3054BBA4D4634","CUST04967","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-37E8961C21E809F2BE96","CAMP-2FC3054BBA4D4634","CUST04954","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-A239290502C124108703","CAMP-2FC3054BBA4D4634","CUST04950","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-394656B1711D4DA689CB","CAMP-2FC3054BBA4D4634","CUST04948","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-1B404C7C6C5F7379AE0B","CAMP-2FC3054BBA4D4634","CUST04944","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
"COMM-90029A978D66D65F31CE","CAMP-2FC3054BBA4D4634","CUST04941","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T14:46:54Z"
