"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-9778D1CE635E62568C2A","CAMP-30B418CA2F083723","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-F3D595E41AD3C390F6CC","CAMP-30B418CA2F083723","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-E81D308DA112745B9436","CAMP-30B418CA2F083723","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-CB88E1448639257AB526","CAMP-30B418CA2F083723","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-F7374D677DEF663B606D","CAMP-30B418CA2F083723","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-C2D876C4CBBA5E14092D","CAMP-30B418CA2F083723","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-FBB795E1F1D257110917","CAMP-30B418CA2F083723","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-DB5F363B5CB913B1CF92","CAMP-30B418CA2F083723","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-B3F46CD2600C03E7BABE","CAMP-30B418CA2F083723","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-4A29A7C224243550623D","CAMP-30B418CA2F083723","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-9AEAEC5DEBD7C2961CE3","CAMP-30B418CA2F083723","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-402563B04D2F6C33782E","CAMP-30B418CA2F083723","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-BB3E2A64D0507BD6048F","CAMP-30B418CA2F083723","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-918BA32D03B3C5BE2656","CAMP-30B418CA2F083723","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-1998FBE284E5DC8E293C","CAMP-30B418CA2F083723","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-86552308FCACA63FF0C3","CAMP-30B418CA2F083723","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-41146BB42F88232F32BA","CAMP-30B418CA2F083723","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-2522E7D194CF162DECD1","CAMP-30B418CA2F083723","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-0C40638B9C56C9DE1850","CAMP-30B418CA2F083723","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-213FD12BF0137F8968BB","CAMP-30B418CA2F083723","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-2D9AA51AA75C6E7BF844","CAMP-30B418CA2F083723","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-EC859144FE3476F593AB","CAMP-30B418CA2F083723","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-4B1AA59478B0CBBEE9A7","CAMP-30B418CA2F083723","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-20A65DC8AC8F1D90C666","CAMP-30B418CA2F083723","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-D1999A17AD3EB2702211","CAMP-30B418CA2F083723","CUST05909","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-EF17DAE8B8A21FC23DFA","CAMP-30B418CA2F083723","CUST05925","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-E3512691BB302808BD99","CAMP-30B418CA2F083723","CUST05929","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-B108F12B742EF5255EF2","CAMP-30B418CA2F083723","CUST05930","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-DE5F7A644EEFA09F5942","CAMP-30B418CA2F083723","CUST05974","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-51FDE3DDB3BEC2542FC1","CAMP-30B418CA2F083723","CUST05931","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-6B3117C6D7F56BDFADFA","CAMP-30B418CA2F083723","CUST05936","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-60757E3086B823E43D76","CAMP-30B418CA2F083723","CUST05939","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-20924A07F240472B272D","CAMP-30B418CA2F083723","CUST05942","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-68ACF76CDAE7A10BCF5B","CAMP-30B418CA2F083723","CUST05944","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-2DB52D266832FF68B3A2","CAMP-30B418CA2F083723","CUST05945","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
"COMM-71855C26B39E7D116E33","CAMP-30B418CA2F083723","CUST05953","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T20:01:40Z"
