"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-E94F385D82AB2A8916A5","CAMP-32CECD0E05D4E526","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-A3B3D2BB0644073D4A9D","CAMP-32CECD0E05D4E526","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-37AD2D2FEB8E61E519A6","CAMP-32CECD0E05D4E526","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-FCA2FD2AAA18D50FFE66","CAMP-32CECD0E05D4E526","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-39DE87D9F42FD0621D50","CAMP-32CECD0E05D4E526","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-CD399FA87435701E38C8","CAMP-32CECD0E05D4E526","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-EFA0CAD798D3E07432A5","CAMP-32CECD0E05D4E526","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-9334820896245336D4A1","CAMP-32CECD0E05D4E526","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-5DF24CB77A241FBA1C34","CAMP-32CECD0E05D4E526","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-B6BF8BCD67EBA2C86B1B","CAMP-32CECD0E05D4E526","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
"COMM-42DBCE52EE3706904B47","CAMP-32CECD0E05D4E526","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:30:13Z"
