"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-3C5A5C1729F88A617E1E","CAMP-37F53D03676AC559","CUST00001","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-4E42453F8F4B2400A1DB","CAMP-37F53D03676AC559","CUST05964","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-9A31375C350669E392C8","CAMP-37F53D03676AC559","CUST05962","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-81E3C9111CFE1CF3F490","CAMP-37F53D03676AC559","CUST05960","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-3FCE30C9D444BF1314F3","CAMP-37F53D03676AC559","CUST05953","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-F7916039FA77DE5DC619","CAMP-37F53D03676AC559","CUST05951","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-1329DD782384DAE111FC","CAMP-37F53D03676AC559","CUST05946","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-9C916C65BD4ED0E93882","CAMP-37F53D03676AC559","CUST05945","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-D127C33E2BAFDAEC13B1","CAMP-37F53D03676AC559","CUST05944","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-A400285E3323DD8A14CE","CAMP-37F53D03676AC559","CUST05943","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-26336790171F1F1975A2","CAMP-37F53D03676AC559","CUST05942","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-0D3ED40BF16E5A8FF2D9","CAMP-37F53D03676AC559","CUST05940","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-9C5ECC051E78969674AF","CAMP-37F53D03676AC559","CUST05939","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
"COMM-953E5C81F4D7E6CFAB34","CAMP-37F53D03676AC559","CUST05938","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:17:39Z"
