"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-2CFB855B3DE953F0A034","CAMP-3E772EE4581CC0B0","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-0AE85B605691D4EEF6D4","CAMP-3E772EE4581CC0B0","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-C72A4FCE2866C416AE38","CAMP-3E772EE4581CC0B0","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-5AE3B550A3D842ECBB42","CAMP-3E772EE4581CC0B0","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-AEC8C163D3C3B951A1E2","CAMP-3E772EE4581CC0B0","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-008EC1A23BDBC18D63C5","CAMP-3E772EE4581CC0B0","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-AA7ECCE86FFF71351A3D","CAMP-3E772EE4581CC0B0","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-F1C41DF1FE3DC3535CAC","CAMP-3E772EE4581CC0B0","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-603E713F8168AAF19861","CAMP-3E772EE4581CC0B0","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
"COMM-FF735D159B1CCB3DF8E0","CAMP-3E772EE4581CC0B0","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:20:04Z"
