"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-DA3B30AB37F97D8E0712","CAMP-3F130303B17CC7D8","CUST00001","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-557B09B7B49D759B0F8F","CAMP-3F130303B17CC7D8","CUST05964","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-A8DDE1084A1835FA0AD6","CAMP-3F130303B17CC7D8","CUST05962","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-FCB95F9938E97A0E4017","CAMP-3F130303B17CC7D8","CUST05960","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-B2EA6E09512DA9FAC43D","CAMP-3F130303B17CC7D8","CUST05953","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-C75E3226F62EAAFFC66B","CAMP-3F130303B17CC7D8","CUST05951","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-943E98F0F2F80A792C53","CAMP-3F130303B17CC7D8","CUST05946","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-9CE24A1B7DF021855292","CAMP-3F130303B17CC7D8","CUST05945","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-F64D45D3538E13FCBD70","CAMP-3F130303B17CC7D8","CUST05944","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-EB35B11174CD65BF13A2","CAMP-3F130303B17CC7D8","CUST05943","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
"COMM-00B09E9EF8C2612624DD","CAMP-3F130303B17CC7D8","CUST05942","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:56:16Z"
