"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-E1C1B76DF8D9CE0AAE5F","CAMP-40889F4B88C2DAD8","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-636758E7045ECB2C78A0","CAMP-40889F4B88C2DAD8","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-DA401E48BF18B73B481C","CAMP-40889F4B88C2DAD8","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-C7E4D769FC52F5788DD5","CAMP-40889F4B88C2DAD8","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-ADCA89403F09785A958D","CAMP-40889F4B88C2DAD8","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-B08E9A567D7BA6A20AAC","CAMP-40889F4B88C2DAD8","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-697FDC05A26E99B2B62A","CAMP-40889F4B88C2DAD8","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-53B86BA6FAA769FA6D43","CAMP-40889F4B88C2DAD8","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-A75C54A9758F7495157D","CAMP-40889F4B88C2DAD8","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-A268025D7F968B83912D","CAMP-40889F4B88C2DAD8","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-9E2B5A39FCCBF03ACFA4","CAMP-40889F4B88C2DAD8","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-68BCF9A45D604095B9D2","CAMP-40889F4B88C2DAD8","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-8BCA384D222F44BAD6EB","CAMP-40889F4B88C2DAD8","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-C835DFA8119313A45E40","CAMP-40889F4B88C2DAD8","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-26C3EC78F7A72DD30F62","CAMP-40889F4B88C2DAD8","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-04ACDC8F764754B5FF6B","CAMP-40889F4B88C2DAD8","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-C57512B6C17CF45BDA07","CAMP-40889F4B88C2DAD8","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-779A7711FB67D35B9486","CAMP-40889F4B88C2DAD8","CUST06769","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-62FE5A6CD4BB2516B078","CAMP-40889F4B88C2DAD8","CUST06765","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-CFFD05CCBE3D5F7786E9","CAMP-40889F4B88C2DAD8","CUST06762","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-BF2A7AC86EC5C78FEC2A","CAMP-40889F4B88C2DAD8","CUST06754","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-D5749B8FFEFFB2720594","CAMP-40889F4B88C2DAD8","CUST06752","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-850C89030737AE48E9BE","CAMP-40889F4B88C2DAD8","CUST06744","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-76E56AC8C1728984EE23","CAMP-40889F4B88C2DAD8","CUST06743","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-49E5FB1CA4786CDDBE57","CAMP-40889F4B88C2DAD8","CUST06736","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-FB67175D09BBBA244A56","CAMP-40889F4B88C2DAD8","CUST06729","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-A0CAB5FD0756AAC860E6","CAMP-40889F4B88C2DAD8","CUST06842","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-512A29B04D22BA3D74D2","CAMP-40889F4B88C2DAD8","CUST06844","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-9D66ABA1DAF77D72CF87","CAMP-40889F4B88C2DAD8","CUST06851","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
"COMM-F615EEB72841BCD896DB","CAMP-40889F4B88C2DAD8","CUST06854","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:44:59Z"
