"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-EB5F0A30DFDA64F5BC78","CAMP-44DD46BC9DEAB3B6","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-C6AF2975969A4213EE0F","CAMP-44DD46BC9DEAB3B6","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-1A08B9347D5219C9696E","CAMP-44DD46BC9DEAB3B6","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-5AD4E5CAAB30A5FB14BF","CAMP-44DD46BC9DEAB3B6","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-CC3D993918208C988993","CAMP-44DD46BC9DEAB3B6","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-14130A40163A39F245F8","CAMP-44DD46BC9DEAB3B6","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-4A07B571BB9A66AC565F","CAMP-44DD46BC9DEAB3B6","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-0D642121F153C4C64180","CAMP-44DD46BC9DEAB3B6","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-4677CA2355FE2D69EEEF","CAMP-44DD46BC9DEAB3B6","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-D9EEF76F707BA581674A","CAMP-44DD46BC9DEAB3B6","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-27CCDE77A34FAB6D1E3A","CAMP-44DD46BC9DEAB3B6","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-A24B31FFD61819EC6772","CAMP-44DD46BC9DEAB3B6","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-0D245873E2D9AEA73CB8","CAMP-44DD46BC9DEAB3B6","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-49051F6F8D9410A72F25","CAMP-44DD46BC9DEAB3B6","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-C5D2B0D1EC77F2F3B80D","CAMP-44DD46BC9DEAB3B6","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-3B1A02BF9EA2B138E0CC","CAMP-44DD46BC9DEAB3B6","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-96559A2C6F36F883C960","CAMP-44DD46BC9DEAB3B6","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-B8423819422B1434C329","CAMP-44DD46BC9DEAB3B6","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-C5F3F8935518678FDABF","CAMP-44DD46BC9DEAB3B6","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-B8F944698FF4AE375B0C","CAMP-44DD46BC9DEAB3B6","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-D2D393915678B59361CE","CAMP-44DD46BC9DEAB3B6","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-8ED78A923D75067134F5","CAMP-44DD46BC9DEAB3B6","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-2CF859C4987E95147989","CAMP-44DD46BC9DEAB3B6","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
"COMM-0921662878A571DA51C7","CAMP-44DD46BC9DEAB3B6","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T14:13:41Z"
