"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-DBD861CDE69B1064B052","CAMP-44E740E81919981F","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-A3428BCD8D4C45C732ED","CAMP-44E740E81919981F","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-9280328D1D3AF65B5812","CAMP-44E740E81919981F","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-E756CB6BE94A9D5585D4","CAMP-44E740E81919981F","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-06B03895757ECD57DD7E","CAMP-44E740E81919981F","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-6F38AAF74386D8C341CC","CAMP-44E740E81919981F","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-133D8543C0558E08F478","CAMP-44E740E81919981F","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-23CF7AA1689D74E7B029","CAMP-44E740E81919981F","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-8F5A4B32EFBB9EE90BFD","CAMP-44E740E81919981F","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-7D4A93C28FE047B63185","CAMP-44E740E81919981F","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-67541E0564D88FA16843","CAMP-44E740E81919981F","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-BE7368C80DFEEA581F9A","CAMP-44E740E81919981F","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-4A4D9271DECE1CFCDD96","CAMP-44E740E81919981F","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-398671212F4C4F6566E2","CAMP-44E740E81919981F","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-79E3CF95DBCD14EECDF8","CAMP-44E740E81919981F","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-BDB73DE06BF853C72FF3","CAMP-44E740E81919981F","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-82F5AB7CCB352001F3EB","CAMP-44E740E81919981F","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-7CCEB9C4C73660966CB6","CAMP-44E740E81919981F","CUST06769","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-98091877D645BC0B8CAA","CAMP-44E740E81919981F","CUST06765","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-6EBFE7F48FF0F604CB1F","CAMP-44E740E81919981F","CUST06762","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
"COMM-5488A868736372C7A5BF","CAMP-44E740E81919981F","CUST06754","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:12:40Z"
