"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-DC1B10382CD54EDB42F4","CAMP-45BE4D6536F31A0A","CUST00007","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-2EE82CBAC6176ABF4D20","CAMP-45BE4D6536F31A0A","CUST05072","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-339A15B6A54F61A59A90","CAMP-45BE4D6536F31A0A","CUST05067","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-E222D2B2FB66A7E5E909","CAMP-45BE4D6536F31A0A","CUST05060","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-5658C75D75C344ED5C21","CAMP-45BE4D6536F31A0A","CUST05053","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-273B26728EBE56E1EEEB","CAMP-45BE4D6536F31A0A","CUST05040","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-20FC3C1F6D00017D35F9","CAMP-45BE4D6536F31A0A","CUST05037","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-ECB1BD6E5A9C52C2D025","CAMP-45BE4D6536F31A0A","CUST05030","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-E2B8645DA1910A76777E","CAMP-45BE4D6536F31A0A","CUST05029","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-649C47B39D15170CA364","CAMP-45BE4D6536F31A0A","CUST05021","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-EDAD8751F6FD9BEF4589","CAMP-45BE4D6536F31A0A","CUST05001","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-CF6F28189B4B8B55AD4E","CAMP-45BE4D6536F31A0A","CUST05074","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-FDD28E42ADCE5021CE1E","CAMP-45BE4D6536F31A0A","CUST04997","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-EA86B14C0B5AABA88BE2","CAMP-45BE4D6536F31A0A","CUST04993","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-7A7028869CDD3E649E90","CAMP-45BE4D6536F31A0A","CUST04982","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-A4BEA097AE8AC4E4C8D5","CAMP-45BE4D6536F31A0A","CUST04967","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-33BF2D33BA8834456675","CAMP-45BE4D6536F31A0A","CUST04954","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-9F1FDF5DD9D2FF723651","CAMP-45BE4D6536F31A0A","CUST04950","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-7E42A682BF95DD1464A4","CAMP-45BE4D6536F31A0A","CUST04948","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-76F9E92BBEE9219F294E","CAMP-45BE4D6536F31A0A","CUST04944","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-F19A540C40A7F0E8D286","CAMP-45BE4D6536F31A0A","CUST04941","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-8585B9B83011775340DD","CAMP-45BE4D6536F31A0A","CUST04939","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-C4ED66BC4A9650689E54","CAMP-45BE4D6536F31A0A","CUST09998","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-ECCA81D4F4633DE00426","CAMP-45BE4D6536F31A0A","CUST04994","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-E17879A6ED53A9ADE269","CAMP-45BE4D6536F31A0A","CUST04920","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
"COMM-4F21646F4AC3D4EE242A","CAMP-45BE4D6536F31A0A","CUST05080","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T17:04:57Z"
