"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-43A4BE21FEABC9C632D3","CAMP-48A4FB4F37E2EE9B","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-94701E5209B01B091B46","CAMP-48A4FB4F37E2EE9B","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-40307AA719B3D497C30C","CAMP-48A4FB4F37E2EE9B","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-ED0D68049549C5E5FDB5","CAMP-48A4FB4F37E2EE9B","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-9197EEDB5B5C53E67959","CAMP-48A4FB4F37E2EE9B","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-9DDD8532A56CA4D8C5A6","CAMP-48A4FB4F37E2EE9B","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-098B441F3FAE74225EB8","CAMP-48A4FB4F37E2EE9B","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-9BB306D175C485C6347F","CAMP-48A4FB4F37E2EE9B","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-65FC15684B5634A90609","CAMP-48A4FB4F37E2EE9B","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
"COMM-705E8F1C8480CC656152","CAMP-48A4FB4F37E2EE9B","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:50:57Z"
