"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-9FF344F5D26DB71E19D5","CAMP-4ADA987BCD553F5F","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-C34BBEA310D0425616A9","CAMP-4ADA987BCD553F5F","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-C3980278B3DF2CA1F8E9","CAMP-4ADA987BCD553F5F","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-E6C98E225F04A1E286E0","CAMP-4ADA987BCD553F5F","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-3C262060AD3E09B69815","CAMP-4ADA987BCD553F5F","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-7A73D017283E93BCF29D","CAMP-4ADA987BCD553F5F","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-2175A49F6B41120229E3","CAMP-4ADA987BCD553F5F","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-0FA450931BEE89EDDF9F","CAMP-4ADA987BCD553F5F","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-18BAF973BDA748D9D5A7","CAMP-4ADA987BCD553F5F","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-E137608A0FF995DF28F9","CAMP-4ADA987BCD553F5F","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-D0BE6F950EDE50694119","CAMP-4ADA987BCD553F5F","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-65329EFB7FAA30622CB8","CAMP-4ADA987BCD553F5F","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-29621ABBE78CD9C0FD3A","CAMP-4ADA987BCD553F5F","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
"COMM-B0AE3B292235927F447B","CAMP-4ADA987BCD553F5F","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:02:19Z"
