"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-AAFF1307FC7BA7F08710","CAMP-5BFB842C44A82066","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-543DAB619556A86ED110","CAMP-5BFB842C44A82066","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-D68B7A179099B90F1C1A","CAMP-5BFB842C44A82066","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-051D5E3040E726AB5E80","CAMP-5BFB842C44A82066","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-594C42B82A38927B925A","CAMP-5BFB842C44A82066","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-8F2455B87A3449B13326","CAMP-5BFB842C44A82066","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-FF7E26EC079EDA43884F","CAMP-5BFB842C44A82066","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-122271F0EF5E6CB2FF2D","CAMP-5BFB842C44A82066","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-0AA5F3A75BA7F5B3C6A3","CAMP-5BFB842C44A82066","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-C3E971022DEC28788481","CAMP-5BFB842C44A82066","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
"COMM-B24467155510DB1981A9","CAMP-5BFB842C44A82066","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:05:19Z"
