"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-1377FD35F04335C3B7F7","CAMP-5D52A46892F976AE","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-43AFC7344E8C46ACF491","CAMP-5D52A46892F976AE","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-8E135D8BF5B3E87E33E5","CAMP-5D52A46892F976AE","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-96EE13AEB5741935D7BB","CAMP-5D52A46892F976AE","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-51F0E6DD431BACB62D0F","CAMP-5D52A46892F976AE","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-D4CAEB25DD93272475B7","CAMP-5D52A46892F976AE","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-CEE728B7BE2ECE5E0C4A","CAMP-5D52A46892F976AE","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-9D238E8A3979FCE3F315","CAMP-5D52A46892F976AE","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-8B381B6D70D20952994D","CAMP-5D52A46892F976AE","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-830A627674BCD017B310","CAMP-5D52A46892F976AE","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-C6348BFDCCDB0F3CE36A","CAMP-5D52A46892F976AE","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-D17C0F8C20605B195640","CAMP-5D52A46892F976AE","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-42510D4C4D0CB82F7AC8","CAMP-5D52A46892F976AE","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-771CBAA72751F4847E64","CAMP-5D52A46892F976AE","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-A9C315766C4482E0EDD9","CAMP-5D52A46892F976AE","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
"COMM-9BD3380FD51E528F41E6","CAMP-5D52A46892F976AE","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T20:42:34Z"
