"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-C820ECD7AB770755B58C","CAMP-671026D81DDC2B68","CUST00007","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-EA918759DF0F7714654E","CAMP-671026D81DDC2B68","CUST05072","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-88FB634133E3254D01C6","CAMP-671026D81DDC2B68","CUST05067","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-4499C22F4CDD66A6F1F3","CAMP-671026D81DDC2B68","CUST05060","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-02C1422726755A41E0F3","CAMP-671026D81DDC2B68","CUST05053","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-548BF6F3F3F352DDEE19","CAMP-671026D81DDC2B68","CUST05040","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-641D0F6C2142F5C1DDD2","CAMP-671026D81DDC2B68","CUST05037","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-C1A9A6C937376C864D06","CAMP-671026D81DDC2B68","CUST05030","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-65AD936A1F96BF639C0E","CAMP-671026D81DDC2B68","CUST05029","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-3BDE3D363D07231B760A","CAMP-671026D81DDC2B68","CUST05021","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-423CA1B59A4B71E5B0BB","CAMP-671026D81DDC2B68","CUST05001","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-5D695CE0BD92B84F700C","CAMP-671026D81DDC2B68","CUST05074","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-8A42EA89727C2AC43B1A","CAMP-671026D81DDC2B68","CUST04997","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-2FE67549227921F51048","CAMP-671026D81DDC2B68","CUST04993","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-E54F2A4BA6BEE78562A9","CAMP-671026D81DDC2B68","CUST04982","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-DD5E21DFB2E9EE540F7D","CAMP-671026D81DDC2B68","CUST04967","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-93F6CDD8FEEB300E3A61","CAMP-671026D81DDC2B68","CUST04954","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-3314026E25029861DB37","CAMP-671026D81DDC2B68","CUST04950","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-6FA97E3BEAC52798DE23","CAMP-671026D81DDC2B68","CUST04948","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-2CB91B27199275586F9A","CAMP-671026D81DDC2B68","CUST04944","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-AC1DDD1035628D243A58","CAMP-671026D81DDC2B68","CUST04941","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-FD24DCC623816FC0BDC2","CAMP-671026D81DDC2B68","CUST04939","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-C7A2372D2C72B6403E71","CAMP-671026D81DDC2B68","CUST09998","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-40781510F53F0DE97488","CAMP-671026D81DDC2B68","CUST04994","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-3A32BF3EFF15699EFDA0","CAMP-671026D81DDC2B68","CUST04920","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-E67784CCDB20ACEFDF52","CAMP-671026D81DDC2B68","CUST05080","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-35BA4F042C0FA9E40E66","CAMP-671026D81DDC2B68","CUST05083","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-4F143BDF9767D604DFD3","CAMP-671026D81DDC2B68","CUST05331","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-1189B16AEC2C064339C6","CAMP-671026D81DDC2B68","CUST05325","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-1F75F58BDC0E31D7269E","CAMP-671026D81DDC2B68","CUST05323","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-E32EDA376896B58F11E5","CAMP-671026D81DDC2B68","CUST05310","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-D531B71C6893B38CF954","CAMP-671026D81DDC2B68","CUST05267","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-E0E124F0CC9817A64922","CAMP-671026D81DDC2B68","CUST05243","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-7BCA01967B9837763C71","CAMP-671026D81DDC2B68","CUST05237","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
"COMM-835277AB078C9367FA26","CAMP-671026D81DDC2B68","CUST05214","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-12T18:06:34Z"
