"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-C2E234505F78D2CE6E56","CAMP-6F252A8AA6F2E6F1","CUST00007","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-8882AC661A07FE066767","CAMP-6F252A8AA6F2E6F1","CUST05072","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-9865941495C5A083BF77","CAMP-6F252A8AA6F2E6F1","CUST05067","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-9CAA69D8703857452D9B","CAMP-6F252A8AA6F2E6F1","CUST05060","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-05BF3B5A788DB8AA3E08","CAMP-6F252A8AA6F2E6F1","CUST05053","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-A115EDDC64F1D9F6C23F","CAMP-6F252A8AA6F2E6F1","CUST05040","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-460742FBAB5E59600059","CAMP-6F252A8AA6F2E6F1","CUST05037","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-64519F32E6F1CFB14ADB","CAMP-6F252A8AA6F2E6F1","CUST05030","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-AFE2A9DDAA693EC35386","CAMP-6F252A8AA6F2E6F1","CUST05029","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
"COMM-C2861D9B72699CEC6CDB","CAMP-6F252A8AA6F2E6F1","CUST05021","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:59:48Z"
