"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-A7171FCD372782312A77","CAMP-712A6BCF6D95D20E","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-A09A71152683C8CD7821","CAMP-712A6BCF6D95D20E","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-0332CAEADE4493BCF9DB","CAMP-712A6BCF6D95D20E","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-54756BB3BD3CC87D7CD5","CAMP-712A6BCF6D95D20E","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-64FCE5E37B89B77B7AAF","CAMP-712A6BCF6D95D20E","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-2938E26880A2AF021783","CAMP-712A6BCF6D95D20E","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-6AEAACED03C6DC426993","CAMP-712A6BCF6D95D20E","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-15ED5C2072C608F9B792","CAMP-712A6BCF6D95D20E","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-0768018383902A5E6D45","CAMP-712A6BCF6D95D20E","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-791EBE48B7F4CFB7D673","CAMP-712A6BCF6D95D20E","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-E453D5F9F17443E5F23F","CAMP-712A6BCF6D95D20E","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-7FA9186AF1C574D1568A","CAMP-712A6BCF6D95D20E","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-B88A3DB8DBBD5E63CACD","CAMP-712A6BCF6D95D20E","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-C75C1D6014B4BB3C1922","CAMP-712A6BCF6D95D20E","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-425F241813B662CF02C7","CAMP-712A6BCF6D95D20E","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-DAF1370D0B8A9481680F","CAMP-712A6BCF6D95D20E","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-73E99BBB22AE20BA93D2","CAMP-712A6BCF6D95D20E","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-9879182FCAA404F3DEDD","CAMP-712A6BCF6D95D20E","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-F44051B4B8511129AC18","CAMP-712A6BCF6D95D20E","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-DF1ECAA1560BDA4BBF95","CAMP-712A6BCF6D95D20E","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
"COMM-4944FBF6A4CA25469E7F","CAMP-712A6BCF6D95D20E","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:21:01Z"
