"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-274AE9C4DCD8A7B51758","CAMP-784F2F57B302B55A","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-7B107982E5B73EE18004","CAMP-784F2F57B302B55A","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-BFFC7D6980EAD1029BAB","CAMP-784F2F57B302B55A","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-EBE5373FF0BB84EAD937","CAMP-784F2F57B302B55A","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-AF38ED0C351A13A873EF","CAMP-784F2F57B302B55A","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-D530CEC2B9442673FA30","CAMP-784F2F57B302B55A","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-7A225B9645A89F32E65D","CAMP-784F2F57B302B55A","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-7C40EE7F13DDA3528A99","CAMP-784F2F57B302B55A","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-CEF9CEC2BFC6A259C5D3","CAMP-784F2F57B302B55A","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
"COMM-3AD41E457A1E1A48C542","CAMP-784F2F57B302B55A","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:25:06Z"
