"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-6FAE84EC677A0455B42F","CAMP-7B9E4CFE2AB09CD9","CUST04896","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-F2321F640D0DFFA3A49D","CAMP-7B9E4CFE2AB09CD9","CUST05328","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-F0388FE4CF4BCD068100","CAMP-7B9E4CFE2AB09CD9","CUST05349","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-AEBF48BB63A2910B6E11","CAMP-7B9E4CFE2AB09CD9","CUST05352","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-E684AB80F6E1235A940E","CAMP-7B9E4CFE2AB09CD9","CUST05369","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-32FCFDAF5D61EABC73DC","CAMP-7B9E4CFE2AB09CD9","CUST05391","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-3F7D3D1CF4EDFA487500","CAMP-7B9E4CFE2AB09CD9","CUST05406","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-624B4CF99CE8D95EB5EB","CAMP-7B9E4CFE2AB09CD9","CUST05446","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-1FEFE4DE9BF1A45E1ECA","CAMP-7B9E4CFE2AB09CD9","CUST05449","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-78E3FF276FBDF7CA49C5","CAMP-7B9E4CFE2AB09CD9","CUST05471","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-B1FB0AD488C7A5AA2C42","CAMP-7B9E4CFE2AB09CD9","CUST05492","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-115B85725817CC21DAC9","CAMP-7B9E4CFE2AB09CD9","CUST05494","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-22AA51D4FC4212013FFC","CAMP-7B9E4CFE2AB09CD9","CUST05539","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-5A94D0D1CC2CF20360BC","CAMP-7B9E4CFE2AB09CD9","CUST05554","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-9D574EA9DCA9A0C0B075","CAMP-7B9E4CFE2AB09CD9","CUST05582","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-46D6FA6414FC87746957","CAMP-7B9E4CFE2AB09CD9","CUST05605","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-9C6195D7422661A42CA2","CAMP-7B9E4CFE2AB09CD9","CUST05631","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-CEA8457E5EBA968122BB","CAMP-7B9E4CFE2AB09CD9","CUST05670","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-AC2F1C9F3B1563121FAD","CAMP-7B9E4CFE2AB09CD9","CUST05704","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-0A64F3F2CE2A5A9F3CE2","CAMP-7B9E4CFE2AB09CD9","CUST05707","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-A765A99F1867368105AB","CAMP-7B9E4CFE2AB09CD9","CUST05730","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-E07711079D6A7C467E5F","CAMP-7B9E4CFE2AB09CD9","CUST05735","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-FF6D00CCEB6D71D2F36B","CAMP-7B9E4CFE2AB09CD9","CUST05749","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-41AC00B589EFF2F0934B","CAMP-7B9E4CFE2AB09CD9","CUST05750","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-E2163D5469E044EBFCB7","CAMP-7B9E4CFE2AB09CD9","CUST05317","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
"COMM-70CFB62B70EE125120AE","CAMP-7B9E4CFE2AB09CD9","CUST05271","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T17:24:07Z"
