"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-7EB0399EE3D7DF1B66DB","CAMP-7F52F37CCDFFF788","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-986AB1C24D10CC5D9B64","CAMP-7F52F37CCDFFF788","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-9B0052C7FBC6C358046E","CAMP-7F52F37CCDFFF788","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-D99A49ACCDB06EB7B2F0","CAMP-7F52F37CCDFFF788","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-B13FDE78517ED827C7F6","CAMP-7F52F37CCDFFF788","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-AAED2A1E15A45A742162","CAMP-7F52F37CCDFFF788","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-D584F75199996191EA39","CAMP-7F52F37CCDFFF788","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-3A39DB395B1811738FFA","CAMP-7F52F37CCDFFF788","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-8DDDAEE296019C18A63A","CAMP-7F52F37CCDFFF788","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
"COMM-4F9C37FDC455BC6AF75A","CAMP-7F52F37CCDFFF788","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-14T00:04:36Z"
