"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-41F9287ABAB8F7F5F7A7","CAMP-8DCB61365A530A9A","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-530252E19E73255196A7","CAMP-8DCB61365A530A9A","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-96EFD39823D1081F45E8","CAMP-8DCB61365A530A9A","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-4E0440BFE0783A01CCE7","CAMP-8DCB61365A530A9A","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-39DD200E1BB756FCD403","CAMP-8DCB61365A530A9A","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-39F49A5239C54FD08EED","CAMP-8DCB61365A530A9A","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-6993695D6BD68873B570","CAMP-8DCB61365A530A9A","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-BACC8095C0931C72A3B3","CAMP-8DCB61365A530A9A","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-8891FDBE3542176D9E81","CAMP-8DCB61365A530A9A","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-C31A7CF205A0595ECDB1","CAMP-8DCB61365A530A9A","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-FFCBEA79335121352314","CAMP-8DCB61365A530A9A","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-34EB54BE6D31D09CB64D","CAMP-8DCB61365A530A9A","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-773B615F8859A999F2D2","CAMP-8DCB61365A530A9A","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-C6AB4B4D51CCBE609F01","CAMP-8DCB61365A530A9A","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-FE79B86DC1F74627C364","CAMP-8DCB61365A530A9A","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-2DF6BA749EFB22270ACB","CAMP-8DCB61365A530A9A","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-34F0B2B93F15B5914F83","CAMP-8DCB61365A530A9A","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-AE1368F38E0B6B6A271A","CAMP-8DCB61365A530A9A","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
"COMM-16D1EA5826967CEA5E01","CAMP-8DCB61365A530A9A","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:43:25Z"
