"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-1BAF9C88A519B6533C1B","CAMP-936AB2232A90F5EF","CUST04896","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-1D5398C7A1C537B6A841","CAMP-936AB2232A90F5EF","CUST05328","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-BC37D9B1FA5D8E5B509C","CAMP-936AB2232A90F5EF","CUST05349","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-51D052E104029A4CCBCE","CAMP-936AB2232A90F5EF","CUST05352","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-B6743DD0D04F6110B229","CAMP-936AB2232A90F5EF","CUST05369","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-E5DFE79F90F8E450B2D7","CAMP-936AB2232A90F5EF","CUST05391","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-7698ECFA30D761E765D4","CAMP-936AB2232A90F5EF","CUST05406","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-7D385FB15B1D3596F636","CAMP-936AB2232A90F5EF","CUST05446","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-8B120F791DB136699967","CAMP-936AB2232A90F5EF","CUST05449","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-2932DD18D7EC76EE613D","CAMP-936AB2232A90F5EF","CUST05471","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-A860A9CEE7E375AEC83E","CAMP-936AB2232A90F5EF","CUST05492","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-60F1481101206AD4C12B","CAMP-936AB2232A90F5EF","CUST05494","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-E7A51744A0CFED623F76","CAMP-936AB2232A90F5EF","CUST05539","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-F6D4C45B5B936AB0C5B0","CAMP-936AB2232A90F5EF","CUST05554","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-35C9A5583A7F1EC127CF","CAMP-936AB2232A90F5EF","CUST05582","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-7B5E3EDFFF2E5C934133","CAMP-936AB2232A90F5EF","CUST05605","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-93B12230E4DEA9126136","CAMP-936AB2232A90F5EF","CUST05631","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-537B3A94C0D9334C973B","CAMP-936AB2232A90F5EF","CUST05670","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-48F91C0B74AE4370956D","CAMP-936AB2232A90F5EF","CUST05704","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-000C642A6E93E6C08C82","CAMP-936AB2232A90F5EF","CUST05707","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-36790399E84EC6ECBD12","CAMP-936AB2232A90F5EF","CUST05730","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
"COMM-92F84DAB5CF5D22C67C8","CAMP-936AB2232A90F5EF","CUST05735","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:19:17Z"
