"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-28A931D6EF8EB299ADA7","CAMP-946E7BA6F82283F8","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-6F7A67BF1CFC607C787C","CAMP-946E7BA6F82283F8","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-A9470F37D74BA5978530","CAMP-946E7BA6F82283F8","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-F29D28F7EF8829ED9F89","CAMP-946E7BA6F82283F8","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-36C578EA03B41BE316DB","CAMP-946E7BA6F82283F8","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-AEF501E0715C7A61697B","CAMP-946E7BA6F82283F8","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-8A9E2E7E703CBE4A80A6","CAMP-946E7BA6F82283F8","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-1FA1B594C4F98AAD7F16","CAMP-946E7BA6F82283F8","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-B3144E9E40B57AF354C8","CAMP-946E7BA6F82283F8","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-BF19876FB9DC1D87C1EB","CAMP-946E7BA6F82283F8","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
"COMM-DD3ABD46F4C2E19AE9F2","CAMP-946E7BA6F82283F8","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T04:48:47Z"
