"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-309FE95FF264AAF36E9F","CAMP-97FE42081F0FC15A","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-7ACDB73489D80703212F","CAMP-97FE42081F0FC15A","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-948601E135D3E1139F2F","CAMP-97FE42081F0FC15A","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-1C2388ED2F2C62D320D0","CAMP-97FE42081F0FC15A","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-20088596EB4B4599A34F","CAMP-97FE42081F0FC15A","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-129061CC8CFF46300E7D","CAMP-97FE42081F0FC15A","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-8183765CCE19BA0D011A","CAMP-97FE42081F0FC15A","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-E1D60BD2DA44C1B69178","CAMP-97FE42081F0FC15A","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-396D806F87FE9555A693","CAMP-97FE42081F0FC15A","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-332D8E9857C663E81996","CAMP-97FE42081F0FC15A","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-A00AF52EACFED16F7D25","CAMP-97FE42081F0FC15A","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-53359C036EF25F664448","CAMP-97FE42081F0FC15A","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-CAFCA016797AEE71C8D3","CAMP-97FE42081F0FC15A","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-5D18FB9005EAB110CABF","CAMP-97FE42081F0FC15A","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-AF3D2ACE0849C76B0963","CAMP-97FE42081F0FC15A","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-1F94357E95A01E316239","CAMP-97FE42081F0FC15A","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-C8E898E93077B80D650B","CAMP-97FE42081F0FC15A","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-72187F4ACA54F7144845","CAMP-97FE42081F0FC15A","CUST06769","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-577862C6AD6EA87FE2E3","CAMP-97FE42081F0FC15A","CUST06765","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-B78B212F9AB488BC8AD8","CAMP-97FE42081F0FC15A","CUST06762","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-9494545CD8106CD08328","CAMP-97FE42081F0FC15A","CUST06754","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
"COMM-3FA8ACBE35A8C5DA6740","CAMP-97FE42081F0FC15A","CUST06752","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T04:55:45Z"
