"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-5D8482F2627FFF8E024F","CAMP-992A5C67B4E2F62B","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-3CEB53F148FB03ED6964","CAMP-992A5C67B4E2F62B","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-AAB99698A845542E7382","CAMP-992A5C67B4E2F62B","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-AC0D3E914CD9D33D9FA7","CAMP-992A5C67B4E2F62B","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-A001F70EDF66D440849A","CAMP-992A5C67B4E2F62B","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-DF8D173C2D3A81730414","CAMP-992A5C67B4E2F62B","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-A05FFC79CE8B92952C96","CAMP-992A5C67B4E2F62B","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-4E823BCA8E0B92CA0960","CAMP-992A5C67B4E2F62B","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-BEF7A483A6FCC6D4B4DC","CAMP-992A5C67B4E2F62B","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-032A2D41A14366C98D1F","CAMP-992A5C67B4E2F62B","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-A5602C4E518B0D7907B9","CAMP-992A5C67B4E2F62B","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-722DCAF227E3A32C6084","CAMP-992A5C67B4E2F62B","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-7E6940637924353C6F32","CAMP-992A5C67B4E2F62B","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-4CD417B564D0FE6638FC","CAMP-992A5C67B4E2F62B","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-F2C2AFE0F04EB5C424E7","CAMP-992A5C67B4E2F62B","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-B05DCD3BD271CE59962B","CAMP-992A5C67B4E2F62B","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-7851D70415F61E3C6398","CAMP-992A5C67B4E2F62B","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-A8A96424846544B70403","CAMP-992A5C67B4E2F62B","CUST06769","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-AD3F89365C1CEC7E84E6","CAMP-992A5C67B4E2F62B","CUST06765","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-ECA24CAC57EC9A83E734","CAMP-992A5C67B4E2F62B","CUST06762","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-6C5DC982CFCFD5A10AB9","CAMP-992A5C67B4E2F62B","CUST06754","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-5D42EBB9BD95BE0F18A1","CAMP-992A5C67B4E2F62B","CUST06752","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-662709E3E116B56143D3","CAMP-992A5C67B4E2F62B","CUST06744","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-6334D64E206A1E487BCC","CAMP-992A5C67B4E2F62B","CUST06743","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-FCD97CAD5DB504B092EB","CAMP-992A5C67B4E2F62B","CUST06736","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-DA75157492951ADE6171","CAMP-992A5C67B4E2F62B","CUST06729","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-FAFBC65C1948ADDE69CD","CAMP-992A5C67B4E2F62B","CUST06842","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-6668F567675144C0C776","CAMP-992A5C67B4E2F62B","CUST06844","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-0AEC143F862C09F3F434","CAMP-992A5C67B4E2F62B","CUST06851","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-C382802D53F4EAE49A59","CAMP-992A5C67B4E2F62B","CUST06854","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-FE979809BD70BE2D8C0C","CAMP-992A5C67B4E2F62B","CUST06969","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-4AD3053FF2983F00AE6B","CAMP-992A5C67B4E2F62B","CUST06965","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
"COMM-B7D46E6598CE9D8B23DB","CAMP-992A5C67B4E2F62B","CUST06960","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:20:34Z"
