"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-F48C82E1B19C70C273A7","CAMP-A177D23733CD151A","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-A0C16C2719ECB814BF4E","CAMP-A177D23733CD151A","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-7DAD402569E50FFC50FA","CAMP-A177D23733CD151A","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-E5C054B8CDD75D45953A","CAMP-A177D23733CD151A","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-379F974925AE5F3EF92E","CAMP-A177D23733CD151A","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-9415A7AA6695B8AF0442","CAMP-A177D23733CD151A","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-AF1DD4C38801673C8C9B","CAMP-A177D23733CD151A","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-D0ABFB03B0F874EB8182","CAMP-A177D23733CD151A","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-8308BE618762921CAA1B","CAMP-A177D23733CD151A","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-77DFAD6A8252BE6594F8","CAMP-A177D23733CD151A","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-AB9ABFA0F2605212DD9D","CAMP-A177D23733CD151A","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
"COMM-F02BF21F806832C44E59","CAMP-A177D23733CD151A","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:34:02Z"
