"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-26A8EB89D9FC10F86268","CAMP-B149179A82F2523C","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-8B8A0642036B01DF2061","CAMP-B149179A82F2523C","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-94084C0134658C9A1218","CAMP-B149179A82F2523C","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-46584D11E44A74E5F104","CAMP-B149179A82F2523C","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-BA5EFD8FFE133D799781","CAMP-B149179A82F2523C","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-4C71D0ABEF666AF1AD88","CAMP-B149179A82F2523C","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-65962BA745C1F9E292FE","CAMP-B149179A82F2523C","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-16EB29F86E5508AAA949","CAMP-B149179A82F2523C","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-E7B426A45263F8366CB9","CAMP-B149179A82F2523C","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-B6A9A18DE1A7E9617F21","CAMP-B149179A82F2523C","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-D75FC52544702B73BBA1","CAMP-B149179A82F2523C","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-FBA48024150327268C53","CAMP-B149179A82F2523C","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-3E68D22C42FC03A9BEFE","CAMP-B149179A82F2523C","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-6A1FF3ED5DD86CEFA98F","CAMP-B149179A82F2523C","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-14CDED01283227C5D95E","CAMP-B149179A82F2523C","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-4DCBC7CFFC0C53A9EA1A","CAMP-B149179A82F2523C","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-9101B8F32A324841E811","CAMP-B149179A82F2523C","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-152A1093310E6ACFF69B","CAMP-B149179A82F2523C","CUST06769","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-0E0A40817D3D7811FEE1","CAMP-B149179A82F2523C","CUST06765","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
"COMM-A7B98422B59097C71967","CAMP-B149179A82F2523C","CUST06762","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:21:39Z"
