"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-BC16ED31E26488508432","CAMP-B80E5BDBA816C7EB","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-3B1128D75BCF14D0C6D8","CAMP-B80E5BDBA816C7EB","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-288EC03CF5FCE7D912D0","CAMP-B80E5BDBA816C7EB","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-D35C985246F803043BE4","CAMP-B80E5BDBA816C7EB","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-B71B1C190D5852B7BA0E","CAMP-B80E5BDBA816C7EB","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-EFE56094FA17CC534EE0","CAMP-B80E5BDBA816C7EB","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-B818B0658C62F623F877","CAMP-B80E5BDBA816C7EB","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-95B1803DA8CB7E3C0D01","CAMP-B80E5BDBA816C7EB","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-730FE1A168C6F89AC43B","CAMP-B80E5BDBA816C7EB","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-0F99AAC9A0BA4D3EE8D0","CAMP-B80E5BDBA816C7EB","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-5B5FA10B9EDDFF386CF2","CAMP-B80E5BDBA816C7EB","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-27B6D33DFD7F45C0483A","CAMP-B80E5BDBA816C7EB","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-AB2D026830CD347E40D3","CAMP-B80E5BDBA816C7EB","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-B77D2589812C656D158B","CAMP-B80E5BDBA816C7EB","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-0597C417C3BA61D37CA9","CAMP-B80E5BDBA816C7EB","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-037EC36FB3C9A62A37AE","CAMP-B80E5BDBA816C7EB","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-07238D6AE1E9B326776C","CAMP-B80E5BDBA816C7EB","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-CAD4A2ECCB3D4FE4D671","CAMP-B80E5BDBA816C7EB","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-A2AC78989D1F5A32A776","CAMP-B80E5BDBA816C7EB","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-CFE700A3EB4EDF3B6344","CAMP-B80E5BDBA816C7EB","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-FCBC7A63D861195426F4","CAMP-B80E5BDBA816C7EB","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-0E3B3EC5E03AF14207CB","CAMP-B80E5BDBA816C7EB","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-66643F626321EF8017F2","CAMP-B80E5BDBA816C7EB","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-1A24432A79DC1B7557F2","CAMP-B80E5BDBA816C7EB","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-4F120A1A98196C41CBF9","CAMP-B80E5BDBA816C7EB","CUST05909","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-AC2363A7A911A0FE01B4","CAMP-B80E5BDBA816C7EB","CUST05925","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-7C5F694AF55C7D97047E","CAMP-B80E5BDBA816C7EB","CUST05929","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-5300FF357E53258F4F3F","CAMP-B80E5BDBA816C7EB","CUST05930","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-DC5FF2553BABC0BC2DEF","CAMP-B80E5BDBA816C7EB","CUST05974","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-6AE799C6E1404F8F240E","CAMP-B80E5BDBA816C7EB","CUST05931","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-B33986A973773FA98AFF","CAMP-B80E5BDBA816C7EB","CUST05936","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-BE65D1E97492C8EDEF19","CAMP-B80E5BDBA816C7EB","CUST05939","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-16FE3673E4BBDAB70652","CAMP-B80E5BDBA816C7EB","CUST05942","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-6D7FAAB7C584814015BE","CAMP-B80E5BDBA816C7EB","CUST05944","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-4DCFC6255E96D265212A","CAMP-B80E5BDBA816C7EB","CUST05945","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-B7962C2E3045D89848B9","CAMP-B80E5BDBA816C7EB","CUST05953","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-CBC963BD0703B8ADD4E6","CAMP-B80E5BDBA816C7EB","CUST05964","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-0BE9820CAD32DE9C4081","CAMP-B80E5BDBA816C7EB","CUST05935","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-0A71086483066122A1C5","CAMP-B80E5BDBA816C7EB","CUST06071","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-D3874CFBD6B65335F713","CAMP-B80E5BDBA816C7EB","CUST06076","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-87089E59527BEAB38382","CAMP-B80E5BDBA816C7EB","CUST06078","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-BDC20ABD325F5806BAAE","CAMP-B80E5BDBA816C7EB","CUST06192","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-A1304E9BF0CB09E12BCC","CAMP-B80E5BDBA816C7EB","CUST06198","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-1EF0B46DAC85D438BFAE","CAMP-B80E5BDBA816C7EB","CUST06206","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-5341F254A887BBF7D076","CAMP-B80E5BDBA816C7EB","CUST06209","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-3E0A9B0622FFA452E7BD","CAMP-B80E5BDBA816C7EB","CUST06215","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-936C7CDB8ADF355F1625","CAMP-B80E5BDBA816C7EB","CUST06222","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-1431A595AF139CDFE1B4","CAMP-B80E5BDBA816C7EB","CUST06225","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-A4F871314EC02BE2E420","CAMP-B80E5BDBA816C7EB","CUST06191","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-0134C2B12CEB6460A636","CAMP-B80E5BDBA816C7EB","CUST06243","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-B5023B392C5D85762ED6","CAMP-B80E5BDBA816C7EB","CUST06253","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-6CCB4A354FE63026AABB","CAMP-B80E5BDBA816C7EB","CUST06255","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
"COMM-3ED631F27C2FD9FE33B0","CAMP-B80E5BDBA816C7EB","CUST06258","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-12T18:08:11Z"
