"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-5E1461A54B6A1F13D3D5","CAMP-C0E933C91AC525A0","CUST00007","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-315947A77231C96F6E3D","CAMP-C0E933C91AC525A0","CUST05072","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-F58CBA96224DC9F8EB3E","CAMP-C0E933C91AC525A0","CUST05067","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-9736AD54E4407FBC2A52","CAMP-C0E933C91AC525A0","CUST05060","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-39F764E1FE15E4F81573","CAMP-C0E933C91AC525A0","CUST05053","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-0A3873D327B04AC244CD","CAMP-C0E933C91AC525A0","CUST05040","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-797EB326588BE7A754D8","CAMP-C0E933C91AC525A0","CUST05037","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-C58704E4453E891B6EF8","CAMP-C0E933C91AC525A0","CUST05030","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-AE7B9729B23035CBA9C6","CAMP-C0E933C91AC525A0","CUST05029","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-FC49D4707B41361C7A3C","CAMP-C0E933C91AC525A0","CUST05021","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-C10CC3848750042613CC","CAMP-C0E933C91AC525A0","CUST05001","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-591ACF99363F76D7CEE3","CAMP-C0E933C91AC525A0","CUST05074","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-2B851ACFAC391E8403D5","CAMP-C0E933C91AC525A0","CUST04997","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-80B127AE07DD42FA9550","CAMP-C0E933C91AC525A0","CUST04993","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-DEBA2ABDB7C10773A253","CAMP-C0E933C91AC525A0","CUST04982","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-E9861B6849921EE6EAB7","CAMP-C0E933C91AC525A0","CUST04967","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-3E9A22B409D074DC92D6","CAMP-C0E933C91AC525A0","CUST04954","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-721778AC4A3617E7E065","CAMP-C0E933C91AC525A0","CUST04950","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-7F107DEE251F4A9368CC","CAMP-C0E933C91AC525A0","CUST04948","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-5B4EE9F4ECAFCDAFA2A1","CAMP-C0E933C91AC525A0","CUST04944","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-347114D14C84C9F56107","CAMP-C0E933C91AC525A0","CUST04941","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-FA43C7F76341D2A86D6E","CAMP-C0E933C91AC525A0","CUST04939","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-FA258062176CF73032A0","CAMP-C0E933C91AC525A0","CUST09998","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-6CCF9E85C636C9E4783E","CAMP-C0E933C91AC525A0","CUST04994","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-9B5FD07B0C68E10AEB44","CAMP-C0E933C91AC525A0","CUST04920","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-C278F30BC169BD2B6A79","CAMP-C0E933C91AC525A0","CUST05080","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-A880C05FC575E4F217E2","CAMP-C0E933C91AC525A0","CUST05083","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-FDD80750EE1E9CAEEBD2","CAMP-C0E933C91AC525A0","CUST05331","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-F721720EF3E70471FC4E","CAMP-C0E933C91AC525A0","CUST05325","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-85623D6ED11BBEA3738C","CAMP-C0E933C91AC525A0","CUST05323","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-6E3AE1E8FE3B73412FC1","CAMP-C0E933C91AC525A0","CUST05310","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
"COMM-7BBD124FEAFA5AD1C41D","CAMP-C0E933C91AC525A0","CUST05267","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:50:43Z"
