"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-7067544D6274DC7B180B","CAMP-C5A575097FE013A2","CUST00001","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-E5CC03A019E1E55193DF","CAMP-C5A575097FE013A2","CUST05964","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-528A3EDA4AE13792E7AE","CAMP-C5A575097FE013A2","CUST05962","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-B345F2ACBA3E2677BC27","CAMP-C5A575097FE013A2","CUST05960","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-3F13556FAFE3FCAE8200","CAMP-C5A575097FE013A2","CUST05953","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-712AC230734EC8CA9BC7","CAMP-C5A575097FE013A2","CUST05951","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-ADFAB2FABE0818E404A7","CAMP-C5A575097FE013A2","CUST05946","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-299AA3C7B1C3C58FD659","CAMP-C5A575097FE013A2","CUST05945","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-42C31339DB6BB0CD4E27","CAMP-C5A575097FE013A2","CUST05944","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-DF6A3BF5AB8A4A8B2B5E","CAMP-C5A575097FE013A2","CUST05943","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-22C86B08C530EDB004D0","CAMP-C5A575097FE013A2","CUST05942","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-3B14FA665D9BCB0D5CD0","CAMP-C5A575097FE013A2","CUST05940","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-4F75B7570334D172F87F","CAMP-C5A575097FE013A2","CUST05939","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-70F6A128717F698E4701","CAMP-C5A575097FE013A2","CUST05938","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-496D17F059BE591E87CB","CAMP-C5A575097FE013A2","CUST05937","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-8C878610CA34EB4813F1","CAMP-C5A575097FE013A2","CUST05936","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-8A3A8C64FCAF8FD087FC","CAMP-C5A575097FE013A2","CUST05935","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-232BB169712CE136EE1A","CAMP-C5A575097FE013A2","CUST05934","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-7D7847EEDEA1207E883B","CAMP-C5A575097FE013A2","CUST05933","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-B867FC0C87291C29022C","CAMP-C5A575097FE013A2","CUST05931","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-C453D03604AFDF601C9C","CAMP-C5A575097FE013A2","CUST05930","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-CAF3D20A6B3ED39DD270","CAMP-C5A575097FE013A2","CUST05929","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-C0EB9B319F1E3FE28FBB","CAMP-C5A575097FE013A2","CUST05966","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-B24DA904FC0EF9BC18F3","CAMP-C5A575097FE013A2","CUST05927","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-43DBBBA28F6FCF509AB9","CAMP-C5A575097FE013A2","CUST05967","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-1953D7F99A8D0F9DF4E2","CAMP-C5A575097FE013A2","CUST05971","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-F119C423792E11AEC3E8","CAMP-C5A575097FE013A2","CUST06010","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-146BEDF770BBC6628A8D","CAMP-C5A575097FE013A2","CUST06009","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
"COMM-27608D92D30B2E35CB08","CAMP-C5A575097FE013A2","CUST06008","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:53:50Z"
