"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-5B346A7A3F1D1E5F3327","CAMP-CC024F8FB8648577","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-C00A28E8C46F160462D8","CAMP-CC024F8FB8648577","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-38DFBBDF25A9A74D000F","CAMP-CC024F8FB8648577","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-4F8E5BB3D4F3EA3ABBDE","CAMP-CC024F8FB8648577","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-B9A05DCFA4615EAFB629","CAMP-CC024F8FB8648577","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-8F12C0E2D3F72E4BFB18","CAMP-CC024F8FB8648577","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-C11F8AF8E0333D78D69E","CAMP-CC024F8FB8648577","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-B2CE9D003647783EC5E7","CAMP-CC024F8FB8648577","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-44FEA3DFEBC351814E50","CAMP-CC024F8FB8648577","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-97B26378364310252BEE","CAMP-CC024F8FB8648577","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-E27BFC6A1B2DAC433045","CAMP-CC024F8FB8648577","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-D32DF31A5F53CB261C6C","CAMP-CC024F8FB8648577","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-DF2CA1E4B868805CA380","CAMP-CC024F8FB8648577","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-D1DA047EF8ED1DFF1F9B","CAMP-CC024F8FB8648577","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-35A282759F95D0E06093","CAMP-CC024F8FB8648577","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-9FC7601686CFB66C7271","CAMP-CC024F8FB8648577","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-372B0F67F3F288CDE003","CAMP-CC024F8FB8648577","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-E1416CF2013390B3FF56","CAMP-CC024F8FB8648577","CUST06769","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-5B5D1AE6C67562604815","CAMP-CC024F8FB8648577","CUST06765","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
"COMM-F75330D68945A4729955","CAMP-CC024F8FB8648577","CUST06762","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T23:42:35Z"
