"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-0D3839C72C3AB093C5AA","CAMP-D0C2CC973843FCD2","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-5C45AFC74F2881C2FFAD","CAMP-D0C2CC973843FCD2","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-6AC6B5918A062FE6A75B","CAMP-D0C2CC973843FCD2","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-A443A0BDB1377D858679","CAMP-D0C2CC973843FCD2","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-7D5D0819F2788FF93D7E","CAMP-D0C2CC973843FCD2","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-42A9BFEE14B6023060CA","CAMP-D0C2CC973843FCD2","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-C7569DB3DA021E42EF01","CAMP-D0C2CC973843FCD2","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-45998C43E913E36267EE","CAMP-D0C2CC973843FCD2","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-8977DDDECB580A7BCF84","CAMP-D0C2CC973843FCD2","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-C23CE735D19E6A9B171C","CAMP-D0C2CC973843FCD2","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-74E8BCB3B5FEB4CBE81E","CAMP-D0C2CC973843FCD2","CUST06793","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-A8DAC63E4DCB366E297F","CAMP-D0C2CC973843FCD2","CUST06790","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-3EBC670B3FEA335D3A79","CAMP-D0C2CC973843FCD2","CUST06784","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-C0DE6FACBDDFFE62FA8B","CAMP-D0C2CC973843FCD2","CUST06781","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-6B5EF187198920DEA695","CAMP-D0C2CC973843FCD2","CUST06778","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-480F7F95BB8CF783976C","CAMP-D0C2CC973843FCD2","CUST06775","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-D058AE5F489C8CCF18BD","CAMP-D0C2CC973843FCD2","CUST06771","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-D2959B74F2A3108DD8DE","CAMP-D0C2CC973843FCD2","CUST06769","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-C8732307DB10DCAA5268","CAMP-D0C2CC973843FCD2","CUST06765","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-C13807F3C4EB6C646D5E","CAMP-D0C2CC973843FCD2","CUST06762","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-2146DABF3B30B2DEE3EE","CAMP-D0C2CC973843FCD2","CUST06754","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-16ABB7A232CA96F443FB","CAMP-D0C2CC973843FCD2","CUST06752","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-3B4F4F5FCFD5B9F33B39","CAMP-D0C2CC973843FCD2","CUST06744","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-38AAD9C57F16823DFA6C","CAMP-D0C2CC973843FCD2","CUST06743","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-A0D6770506DACA641795","CAMP-D0C2CC973843FCD2","CUST06736","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-23AA3EEB1B0A4B852BF5","CAMP-D0C2CC973843FCD2","CUST06729","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
"COMM-12FECAE824CB2744C4C3","CAMP-D0C2CC973843FCD2","CUST06842","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:10:34Z"
