"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-89E745CF5A4C5F95FF07","CAMP-DBD075906A66CAB0","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-12BA99E52B7F964EA117","CAMP-DBD075906A66CAB0","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-66499557041223C71A6E","CAMP-DBD075906A66CAB0","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-9A240540147668DFAD34","CAMP-DBD075906A66CAB0","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-909A76439A466975E290","CAMP-DBD075906A66CAB0","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-3B93774FF3BA7C135B4C","CAMP-DBD075906A66CAB0","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-A1F730D56B0B47C1C6E7","CAMP-DBD075906A66CAB0","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-6877929F369EEDFE8FC9","CAMP-DBD075906A66CAB0","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-15E2626030984E767430","CAMP-DBD075906A66CAB0","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
"COMM-3BF6581E19EA21A0F6A1","CAMP-DBD075906A66CAB0","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T21:23:21Z"
