"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-31F22A0F48DC8F44F265","CAMP-DCB148A0ED4D2A17","CUST00004","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-C3D9F0CB5275ED8EEE15","CAMP-DCB148A0ED4D2A17","CUST06840","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-F7536277D961D90F2405","CAMP-DCB148A0ED4D2A17","CUST06837","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-B9C87B82A848D8DD9587","CAMP-DCB148A0ED4D2A17","CUST06836","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-E7DC29AB0AB507EF2CAC","CAMP-DCB148A0ED4D2A17","CUST06833","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-A19445E097C58F02BF70","CAMP-DCB148A0ED4D2A17","CUST06822","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-62A7BAB4BD8B36449FF2","CAMP-DCB148A0ED4D2A17","CUST06813","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-72125896148B708EE4B3","CAMP-DCB148A0ED4D2A17","CUST06809","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-F485EA884490CB3B386B","CAMP-DCB148A0ED4D2A17","CUST06808","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
"COMM-34AB9AB91E79169ACE16","CAMP-DCB148A0ED4D2A17","CUST06800","EMAIL","REWARDS","Celebrate loyalty with exclusive benefits. Offer: Loyalty Reward","CREATED","0","2026-06-13T12:16:26Z"
