"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-84031A7A09CF46DCD3D2","CAMP-DF4F45A6E69F0F70","CUST00007","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-4A851B4D4BC58FED78C9","CAMP-DF4F45A6E69F0F70","CUST05072","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-F15539BC7FDF4C6D262F","CAMP-DF4F45A6E69F0F70","CUST05067","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-1B0DD2381EBE05891096","CAMP-DF4F45A6E69F0F70","CUST05060","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-5CD27AF5C1A315DD10E5","CAMP-DF4F45A6E69F0F70","CUST05053","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-3F42602B92F13062C83F","CAMP-DF4F45A6E69F0F70","CUST05040","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-6E7BAFF4FAF48FC6572D","CAMP-DF4F45A6E69F0F70","CUST05037","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-C8970A1BFE3E66FB129E","CAMP-DF4F45A6E69F0F70","CUST05030","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-3C9D9153548C53784588","CAMP-DF4F45A6E69F0F70","CUST05029","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-6CAD9A6858AF6492F620","CAMP-DF4F45A6E69F0F70","CUST05021","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-93369770EB6569641740","CAMP-DF4F45A6E69F0F70","CUST05001","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-7865D1A70525C8E6B767","CAMP-DF4F45A6E69F0F70","CUST05074","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-F7C2C773D773AD362758","CAMP-DF4F45A6E69F0F70","CUST04997","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-38EAE19D5575975503E0","CAMP-DF4F45A6E69F0F70","CUST04993","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-DC85C68859819567D7AE","CAMP-DF4F45A6E69F0F70","CUST04982","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-557586FBB63983F36D79","CAMP-DF4F45A6E69F0F70","CUST04967","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-7C77E091286160B6249B","CAMP-DF4F45A6E69F0F70","CUST04954","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-CD5A7D0559CE48DF4DA8","CAMP-DF4F45A6E69F0F70","CUST04950","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-7AE3FD08D459671D1A5C","CAMP-DF4F45A6E69F0F70","CUST04948","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-6D77FAB33CC11B387736","CAMP-DF4F45A6E69F0F70","CUST04944","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-E74CB0531A047845F790","CAMP-DF4F45A6E69F0F70","CUST04941","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-23A3F3BE3FCB09ECEBF3","CAMP-DF4F45A6E69F0F70","CUST04939","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-C70135216899B2EA37D1","CAMP-DF4F45A6E69F0F70","CUST09998","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-3918996FAE9197D6CD6C","CAMP-DF4F45A6E69F0F70","CUST04994","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-6531DEB9F931EDEB55EE","CAMP-DF4F45A6E69F0F70","CUST04920","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-8C1E8A528E5BECF7B5EF","CAMP-DF4F45A6E69F0F70","CUST05080","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-3D1ABB26241E93C0547A","CAMP-DF4F45A6E69F0F70","CUST05083","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-4F3E38BBFA6AE2AD91C9","CAMP-DF4F45A6E69F0F70","CUST05331","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-5660840A75886870BB85","CAMP-DF4F45A6E69F0F70","CUST05325","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-72964D941901FF4A9276","CAMP-DF4F45A6E69F0F70","CUST05323","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-52CDE910F3636A9F155E","CAMP-DF4F45A6E69F0F70","CUST05310","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-718806EF0721DFBE94E0","CAMP-DF4F45A6E69F0F70","CUST05267","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-A6DA3AAFADABD45D7D2C","CAMP-DF4F45A6E69F0F70","CUST05243","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-8E31B2E47CD4C1BF82FF","CAMP-DF4F45A6E69F0F70","CUST05237","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-1C7E7B66A9D5DA36EBC5","CAMP-DF4F45A6E69F0F70","CUST05214","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-05FDBDA8859AC689901E","CAMP-DF4F45A6E69F0F70","CUST05210","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-F6CA6953ACC5F0803A18","CAMP-DF4F45A6E69F0F70","CUST05209","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-3BE57D3DA9A007129486","CAMP-DF4F45A6E69F0F70","CUST05082","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-5D1F40B6076828A45459","CAMP-DF4F45A6E69F0F70","CUST05206","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
"COMM-E053F510A20316A5FBBF","CAMP-DF4F45A6E69F0F70","CUST05189","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-13T20:53:32Z"
