"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-3BED0EFEE535037D762C","CAMP-E1A49F4304FB777C","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-FE5A5A10738999E9424A","CAMP-E1A49F4304FB777C","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-2C79169DA413F022D21B","CAMP-E1A49F4304FB777C","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-B062D92DCF789D9E8B3B","CAMP-E1A49F4304FB777C","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-7033B281B79B52DE8B80","CAMP-E1A49F4304FB777C","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-798FA5200997EF5D027B","CAMP-E1A49F4304FB777C","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-5C6E5C54C4BAEFE0C5D5","CAMP-E1A49F4304FB777C","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-3C0BA716498188E22E4F","CAMP-E1A49F4304FB777C","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-775C1881E30FFBBF1454","CAMP-E1A49F4304FB777C","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-9D1F39FC1FDCDE235739","CAMP-E1A49F4304FB777C","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-7A15A5257210D0690C64","CAMP-E1A49F4304FB777C","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-C41887727E29E2D8B138","CAMP-E1A49F4304FB777C","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-805E94EACB3D81740970","CAMP-E1A49F4304FB777C","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
"COMM-CEA86323E220DA2401CA","CAMP-E1A49F4304FB777C","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:10:07Z"
