"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-3FF5ECE834DB08B55D95","CAMP-E9023FED835B8BA3","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-E1FB487BD50A2CD8534E","CAMP-E9023FED835B8BA3","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-64D5F71C88F891CC6CAF","CAMP-E9023FED835B8BA3","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-29BD017E09E06587D495","CAMP-E9023FED835B8BA3","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-BB6DA6FB487E3B73556F","CAMP-E9023FED835B8BA3","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-7A739C59C3BAB4C90410","CAMP-E9023FED835B8BA3","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-101C98975F66C1C0E516","CAMP-E9023FED835B8BA3","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-537CC04C53CF2640A66A","CAMP-E9023FED835B8BA3","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-838856012A224A7D7BF4","CAMP-E9023FED835B8BA3","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-45A84E4004F8B17E49D8","CAMP-E9023FED835B8BA3","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-98E180F0AD1C204D9265","CAMP-E9023FED835B8BA3","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-C2DE190DF927AA7AB9AE","CAMP-E9023FED835B8BA3","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-6297A2BE09809AD93752","CAMP-E9023FED835B8BA3","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-78C8190341D79D47A547","CAMP-E9023FED835B8BA3","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-158D507890109C46C2FF","CAMP-E9023FED835B8BA3","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-8D5A74D9C21F1D2FAA3B","CAMP-E9023FED835B8BA3","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-60595D40EA9E2DAD1061","CAMP-E9023FED835B8BA3","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-2270F9CAABF0FC289558","CAMP-E9023FED835B8BA3","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-4BDBD700ECB138086520","CAMP-E9023FED835B8BA3","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-26D331B42D34EB5FA61B","CAMP-E9023FED835B8BA3","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-A5DCBF5711473DDE338C","CAMP-E9023FED835B8BA3","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-3359AFBA591D2ACB4082","CAMP-E9023FED835B8BA3","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-537C808A1EB9F2C608B7","CAMP-E9023FED835B8BA3","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-2EC66CCFC8AF36CFA018","CAMP-E9023FED835B8BA3","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-FA0F12F7ADF1A16FD251","CAMP-E9023FED835B8BA3","CUST05909","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-B30EF6A7882E82971AF8","CAMP-E9023FED835B8BA3","CUST05925","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-014ADF31CFB9B6C259D7","CAMP-E9023FED835B8BA3","CUST05929","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-669BE9030AC660635774","CAMP-E9023FED835B8BA3","CUST05930","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-F4E1341A1366EE1D22B6","CAMP-E9023FED835B8BA3","CUST05974","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-4B4C7E36A1F90D251ABE","CAMP-E9023FED835B8BA3","CUST05931","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-53F7B5092D6DA707E9EC","CAMP-E9023FED835B8BA3","CUST05936","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-A3054A4068B0935A4B66","CAMP-E9023FED835B8BA3","CUST05939","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-1DA59801A81CBF3FA5F6","CAMP-E9023FED835B8BA3","CUST05942","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-7C286F528F0E23FF0840","CAMP-E9023FED835B8BA3","CUST05944","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-D038918E09965AC591BA","CAMP-E9023FED835B8BA3","CUST05945","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-AD9788F94818AFDA0812","CAMP-E9023FED835B8BA3","CUST05953","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-7A41DF8FD842DA313C71","CAMP-E9023FED835B8BA3","CUST05964","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-4B087D5405CA30BC1B7A","CAMP-E9023FED835B8BA3","CUST05935","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-03B7F0BD0CED4D6B1CF3","CAMP-E9023FED835B8BA3","CUST06071","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-ADAA2158CA9C28AD65C5","CAMP-E9023FED835B8BA3","CUST06076","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-189F3AC0C0B1C3DD546C","CAMP-E9023FED835B8BA3","CUST06078","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-B9E60A5774B9529CEE40","CAMP-E9023FED835B8BA3","CUST06192","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-7C2EF4B5406CB4DF07D3","CAMP-E9023FED835B8BA3","CUST06198","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-93B10CF869FEAC5AAE59","CAMP-E9023FED835B8BA3","CUST06206","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-0D16E52078302F728268","CAMP-E9023FED835B8BA3","CUST06209","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-D3AEA81485903CC4453E","CAMP-E9023FED835B8BA3","CUST06215","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-B65A881F163F89784D8C","CAMP-E9023FED835B8BA3","CUST06222","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-FB3BF3028F61CAD582A7","CAMP-E9023FED835B8BA3","CUST06225","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-7BCA6A5152866C8CFE95","CAMP-E9023FED835B8BA3","CUST06191","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-8EA1CED17D737221FAAE","CAMP-E9023FED835B8BA3","CUST06243","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-7BEF86AB24403044D8BA","CAMP-E9023FED835B8BA3","CUST06253","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-AE2CAF670F0748CE10BF","CAMP-E9023FED835B8BA3","CUST06255","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-0B03213D5B83857F0760","CAMP-E9023FED835B8BA3","CUST06258","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-9C5C83F21C052C4DBDBF","CAMP-E9023FED835B8BA3","CUST06259","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-F2858B8EFC4C484A4014","CAMP-E9023FED835B8BA3","CUST06270","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-7DF847D2B453C8A58E7E","CAMP-E9023FED835B8BA3","CUST06276","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-FEE96AAC390A70417271","CAMP-E9023FED835B8BA3","CUST06277","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-22EB98D79BBAE4EF3563","CAMP-E9023FED835B8BA3","CUST06244","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-F692EC3A5CA728F43D48","CAMP-E9023FED835B8BA3","CUST06185","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-E595BE0FB42B6E1C4089","CAMP-E9023FED835B8BA3","CUST06179","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-9D00CED0696077A4DA7B","CAMP-E9023FED835B8BA3","CUST06165","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-747DABDA1C7A7A94EEF8","CAMP-E9023FED835B8BA3","CUST06080","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-FB0807D0554F716A9070","CAMP-E9023FED835B8BA3","CUST06083","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-B51A413EC052AA6C7CC2","CAMP-E9023FED835B8BA3","CUST06097","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-781760A302DA6C393AAA","CAMP-E9023FED835B8BA3","CUST06098","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-5EF0FE221EB20D508445","CAMP-E9023FED835B8BA3","CUST06102","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-330BAEE023639844DFCC","CAMP-E9023FED835B8BA3","CUST06104","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
"COMM-3FFF13EF1F207E3C48E8","CAMP-E9023FED835B8BA3","CUST06109","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T16:24:10Z"
