"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-3A33EE68ACD62C5B8B04","CAMP-EA118BA20398E20D","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-C84177E80CC1110363F4","CAMP-EA118BA20398E20D","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-DE819E0A6EB376044571","CAMP-EA118BA20398E20D","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-696D2445A3ACCAED585D","CAMP-EA118BA20398E20D","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-84B3C9F9F538037F51C8","CAMP-EA118BA20398E20D","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-C817021482F1ED9710DF","CAMP-EA118BA20398E20D","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-ABE65EF9BA918348CDB7","CAMP-EA118BA20398E20D","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-6C34C6E78798FB6AFD07","CAMP-EA118BA20398E20D","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-A5C063A083EE47FC10D9","CAMP-EA118BA20398E20D","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-63FF81D312290A77DC24","CAMP-EA118BA20398E20D","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-4D59E7F40B4D402B2FB3","CAMP-EA118BA20398E20D","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-209CFE3B400E5FFE4EBB","CAMP-EA118BA20398E20D","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-A9D34F3636FE083B9C59","CAMP-EA118BA20398E20D","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-FA6F593CA63B45CF2160","CAMP-EA118BA20398E20D","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-95691826AF2EF9206062","CAMP-EA118BA20398E20D","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-8FD6C06D2CAEC361CB41","CAMP-EA118BA20398E20D","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-7924E8535758B7EBCFDC","CAMP-EA118BA20398E20D","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-0E15B9417904A0CFDDA9","CAMP-EA118BA20398E20D","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-07F3DC89D8C7ED309E0C","CAMP-EA118BA20398E20D","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-AB77A4009F587EF485CD","CAMP-EA118BA20398E20D","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
"COMM-06D5282ADBFA562BF460","CAMP-EA118BA20398E20D","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T04:49:37Z"
