"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-9C166E55A89AAC83F892","CAMP-EBE4DD5B5D28E56A","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-5564CB250A55E8824AB3","CAMP-EBE4DD5B5D28E56A","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-5880876E24094DEA6440","CAMP-EBE4DD5B5D28E56A","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-C07AB29ABB256B0EB592","CAMP-EBE4DD5B5D28E56A","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-41078C547D4B2AEC7F91","CAMP-EBE4DD5B5D28E56A","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-9C3A46998CE531E53090","CAMP-EBE4DD5B5D28E56A","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-0AFB458F1F42300D5B94","CAMP-EBE4DD5B5D28E56A","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-F872745F2B07749BC779","CAMP-EBE4DD5B5D28E56A","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-8715BEDCE317DFFBDEEA","CAMP-EBE4DD5B5D28E56A","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-AFEF8A5BE541C41F5B77","CAMP-EBE4DD5B5D28E56A","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-9993008412EA40EEFE43","CAMP-EBE4DD5B5D28E56A","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-B8E7203A5A5778C7AB06","CAMP-EBE4DD5B5D28E56A","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-F0A0ADBA3A89943A9442","CAMP-EBE4DD5B5D28E56A","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-B0EB33242E171C3E1C48","CAMP-EBE4DD5B5D28E56A","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-CFF86A060BFF15C8DD09","CAMP-EBE4DD5B5D28E56A","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-500E1BBB4EC1A135B9A6","CAMP-EBE4DD5B5D28E56A","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-93F541D8A6D9134C7B59","CAMP-EBE4DD5B5D28E56A","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-088DBD726F7DC424108B","CAMP-EBE4DD5B5D28E56A","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-30F244F65AAC1053AD7C","CAMP-EBE4DD5B5D28E56A","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-F2221C55E163133E5E25","CAMP-EBE4DD5B5D28E56A","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-8AF33C2F840CB9856D88","CAMP-EBE4DD5B5D28E56A","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-2DAE5377123BD440DD19","CAMP-EBE4DD5B5D28E56A","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
"COMM-C762A9D3A7F14AB4BDDB","CAMP-EBE4DD5B5D28E56A","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T15:18:41Z"
