"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-B800F7669177CDF00DF3","CAMP-ECFA987F71EB4745","CUST00001","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-8A9D9E678618AA281F88","CAMP-ECFA987F71EB4745","CUST05964","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-99286DA05A4BEF42A1B0","CAMP-ECFA987F71EB4745","CUST05962","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-5E7F807412919F808E84","CAMP-ECFA987F71EB4745","CUST05960","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-28DFBBF4242811842596","CAMP-ECFA987F71EB4745","CUST05953","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-8A372FA72223158ACCAB","CAMP-ECFA987F71EB4745","CUST05951","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-457855B7D76AE2E09F5A","CAMP-ECFA987F71EB4745","CUST05946","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-43AE4B44B041CFAE90E7","CAMP-ECFA987F71EB4745","CUST05945","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-84ABFE7FCC2C67F2601A","CAMP-ECFA987F71EB4745","CUST05944","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-8F8AD7AD093FAFEC2A54","CAMP-ECFA987F71EB4745","CUST05943","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-2C7CA2C3207B57448FE2","CAMP-ECFA987F71EB4745","CUST05942","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-5C8057F4EA3377175143","CAMP-ECFA987F71EB4745","CUST05940","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-785985418509EF177834","CAMP-ECFA987F71EB4745","CUST05939","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-C2D86BCA37440B3D61E7","CAMP-ECFA987F71EB4745","CUST05938","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-68D1DFE254F24B02298E","CAMP-ECFA987F71EB4745","CUST05937","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-C69DD916BC7EE8EBA156","CAMP-ECFA987F71EB4745","CUST05936","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-AEE691E896F831D0EB77","CAMP-ECFA987F71EB4745","CUST05935","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-554F38688834909010ED","CAMP-ECFA987F71EB4745","CUST05934","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
"COMM-E36D225E2FC16A0232F8","CAMP-ECFA987F71EB4745","CUST05933","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T06:03:27Z"
