"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-DAB1BB0012924B283047","CAMP-F13FC6C2C7000454","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-F4AC1FC8DEA72B4C1A58","CAMP-F13FC6C2C7000454","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-C178BBE86E211C305D6D","CAMP-F13FC6C2C7000454","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-356DDB680AFF2D201D7A","CAMP-F13FC6C2C7000454","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-4CFD362E3D7F57257E68","CAMP-F13FC6C2C7000454","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-1DBCEE120C0AF9501A63","CAMP-F13FC6C2C7000454","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-263F23D12B8DDC4F5530","CAMP-F13FC6C2C7000454","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-5A7B28C65C24B35E2326","CAMP-F13FC6C2C7000454","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-A71A8306E12A03BA9E8B","CAMP-F13FC6C2C7000454","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-26566E6BFC83E0E76B90","CAMP-F13FC6C2C7000454","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-71FDCC93FDEA184BAC3C","CAMP-F13FC6C2C7000454","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-E9E25B879AF0806F8AC1","CAMP-F13FC6C2C7000454","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-EFD985B1D5BBB68359A1","CAMP-F13FC6C2C7000454","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-77D5E0A63E9D90A65D99","CAMP-F13FC6C2C7000454","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-B997E1D81836C188A306","CAMP-F13FC6C2C7000454","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-35FA07558E84032DC094","CAMP-F13FC6C2C7000454","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-4569A73FAEA1484EF22C","CAMP-F13FC6C2C7000454","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-62070ED721E4032024BC","CAMP-F13FC6C2C7000454","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-E3932A4204ECDE3EB57D","CAMP-F13FC6C2C7000454","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-26CA2D11D69FDE4294C6","CAMP-F13FC6C2C7000454","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-E346BA4444815FB48C26","CAMP-F13FC6C2C7000454","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-1DFF2A15A6A2FC5650DA","CAMP-F13FC6C2C7000454","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-CFC1A351D64A3551C7AA","CAMP-F13FC6C2C7000454","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-F16B5091968D62B297DA","CAMP-F13FC6C2C7000454","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-90BD97CD277573923ECD","CAMP-F13FC6C2C7000454","CUST05909","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-29D0A6DA771738B58FF8","CAMP-F13FC6C2C7000454","CUST05925","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-1A75494FC1F1EC830EF6","CAMP-F13FC6C2C7000454","CUST05929","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-85F4963A4C5B248F558D","CAMP-F13FC6C2C7000454","CUST05930","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-5BBBB460FF8929D8D980","CAMP-F13FC6C2C7000454","CUST05974","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-07A3EE39E9F3F938E693","CAMP-F13FC6C2C7000454","CUST05931","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-C4BD687C8992EDF22827","CAMP-F13FC6C2C7000454","CUST05936","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-E6D6FE1A4D78D6C8EB45","CAMP-F13FC6C2C7000454","CUST05939","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-290CCC2348281525E078","CAMP-F13FC6C2C7000454","CUST05942","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-FD0C81F85500A017C52F","CAMP-F13FC6C2C7000454","CUST05944","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-233261C17904ED9B52D3","CAMP-F13FC6C2C7000454","CUST05945","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-656E5D258B44D47810E7","CAMP-F13FC6C2C7000454","CUST05953","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-9BBC9B23A94CEE7CB85B","CAMP-F13FC6C2C7000454","CUST05964","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-44D257E102D63A08EF13","CAMP-F13FC6C2C7000454","CUST05935","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-0031A2C7FE5073BBBE08","CAMP-F13FC6C2C7000454","CUST06071","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-F46A2AC52A7DC0EE80F0","CAMP-F13FC6C2C7000454","CUST06076","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-BA6E4CF32D9720B037D3","CAMP-F13FC6C2C7000454","CUST06078","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-D2F8E08B9AC9C99F7FE1","CAMP-F13FC6C2C7000454","CUST06192","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-7E3854DFED36B972C98D","CAMP-F13FC6C2C7000454","CUST06198","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
"COMM-81CB0CD080B89E95931E","CAMP-F13FC6C2C7000454","CUST06206","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T05:58:34Z"
