"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-2D2182BE2A4D7A229EEC","CAMP-F1D12B8A78F216F0","CUST04896","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-FC109DCE4915C0086F1E","CAMP-F1D12B8A78F216F0","CUST05328","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-7B003ACE04BEE43270F7","CAMP-F1D12B8A78F216F0","CUST05349","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-797C4A10602313D164CC","CAMP-F1D12B8A78F216F0","CUST05352","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-13FD403AEC1302003341","CAMP-F1D12B8A78F216F0","CUST05369","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-DA3A94E9FDDE77CADF93","CAMP-F1D12B8A78F216F0","CUST05391","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-43394A7D7BD22711CCCF","CAMP-F1D12B8A78F216F0","CUST05406","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-493AE782F42EAE91EE70","CAMP-F1D12B8A78F216F0","CUST05446","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-689FC3479D7C1320D29A","CAMP-F1D12B8A78F216F0","CUST05449","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-5A8CB7558BC0A39D754F","CAMP-F1D12B8A78F216F0","CUST05471","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-F2DE32391115BC4DEC74","CAMP-F1D12B8A78F216F0","CUST05492","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-38A7144D66C0E99BD50E","CAMP-F1D12B8A78F216F0","CUST05494","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-816DFB8706A6FE60CC92","CAMP-F1D12B8A78F216F0","CUST05539","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-BA14D89CA4949444C752","CAMP-F1D12B8A78F216F0","CUST05554","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-9547A03328A11C6DBC48","CAMP-F1D12B8A78F216F0","CUST05582","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-4636548DE67D423057F3","CAMP-F1D12B8A78F216F0","CUST05605","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-C8A3C6E80AEE0C73488C","CAMP-F1D12B8A78F216F0","CUST05631","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-309623F5CEC93757FA4A","CAMP-F1D12B8A78F216F0","CUST05670","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-53C4B821BD53AC19FB6F","CAMP-F1D12B8A78F216F0","CUST05704","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
"COMM-0332B6054B40DFF2E502","CAMP-F1D12B8A78F216F0","CUST05707","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T21:01:56Z"
