"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-A7B30A401825F6F4D7C1","CAMP-F4A6239D8EB4F5D0","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-85B594F215DBC14F1A04","CAMP-F4A6239D8EB4F5D0","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-E248A202824914624F9E","CAMP-F4A6239D8EB4F5D0","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-1F620978496874D61A86","CAMP-F4A6239D8EB4F5D0","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-B8C2EC3466400DE75009","CAMP-F4A6239D8EB4F5D0","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-7EF5AD87AF6265C87BD4","CAMP-F4A6239D8EB4F5D0","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-87B99CFE284193ACA8A5","CAMP-F4A6239D8EB4F5D0","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-8C0A76A0CBF7555E1DBE","CAMP-F4A6239D8EB4F5D0","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-763CC454AA080757B2C7","CAMP-F4A6239D8EB4F5D0","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-D87FBEF785F1103DACFC","CAMP-F4A6239D8EB4F5D0","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-B06D9B905B622D632364","CAMP-F4A6239D8EB4F5D0","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-7F2338F4D084A5E1E752","CAMP-F4A6239D8EB4F5D0","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-A90DEFA115D7CCE3401C","CAMP-F4A6239D8EB4F5D0","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-EB55F998D27788D7C7E5","CAMP-F4A6239D8EB4F5D0","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-4FAAB81510BE684D99D6","CAMP-F4A6239D8EB4F5D0","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-7A06929D12D9C78F80E4","CAMP-F4A6239D8EB4F5D0","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-A125B9A5133089170349","CAMP-F4A6239D8EB4F5D0","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-38377CE0EF0EA73F806B","CAMP-F4A6239D8EB4F5D0","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-EF0E2C76718F2612E6B6","CAMP-F4A6239D8EB4F5D0","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-01843588D3B7AEC6E41F","CAMP-F4A6239D8EB4F5D0","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-E0D2E67995919F6F998B","CAMP-F4A6239D8EB4F5D0","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-78246A27A3BAD6807259","CAMP-F4A6239D8EB4F5D0","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-B771F995B46D8C6255AE","CAMP-F4A6239D8EB4F5D0","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
"COMM-B86D55793C54B5C065F4","CAMP-F4A6239D8EB4F5D0","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:06:03Z"
