"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-41D359B70E0E2A336B5C","CAMP-F5F351BC0D98B4F7","CUST04896","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-17FE3DB65B9370929BA8","CAMP-F5F351BC0D98B4F7","CUST05328","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-163A98C92DC9281F39FE","CAMP-F5F351BC0D98B4F7","CUST05349","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-3E51551C228E1204F477","CAMP-F5F351BC0D98B4F7","CUST05352","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-E57DA8F543C594EC5BB0","CAMP-F5F351BC0D98B4F7","CUST05369","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-7650587DBC56D2127172","CAMP-F5F351BC0D98B4F7","CUST05391","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-92D4AA40284F51C9A1CE","CAMP-F5F351BC0D98B4F7","CUST05406","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-34C5757E51842663AE7A","CAMP-F5F351BC0D98B4F7","CUST05446","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-17E50990024D7459FB78","CAMP-F5F351BC0D98B4F7","CUST05449","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
"COMM-53823B409CAD96CA4D89","CAMP-F5F351BC0D98B4F7","CUST05471","EMAIL","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-13T23:56:11Z"
