"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-ECFE8B3B92F2E07F1719","CAMP-F8A9DEA29DDEBAC2","CUST00001","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-C5540FB425D7C50B76A7","CAMP-F8A9DEA29DDEBAC2","CUST05996","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-D4D76DBEB2BEC646DA21","CAMP-F8A9DEA29DDEBAC2","CUST06007","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-777B8F50CAE90940E4A0","CAMP-F8A9DEA29DDEBAC2","CUST06008","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-EE0C156DB23944574CA5","CAMP-F8A9DEA29DDEBAC2","CUST06010","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-6D67B39BF161D330568A","CAMP-F8A9DEA29DDEBAC2","CUST06011","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-B7BB3A3C34F67C6DBF89","CAMP-F8A9DEA29DDEBAC2","CUST06015","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-1DE6E2D94E8D4BD3A8F8","CAMP-F8A9DEA29DDEBAC2","CUST06021","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-DD5B32D9E59240EB021E","CAMP-F8A9DEA29DDEBAC2","CUST05988","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-E0B054BE67C581F1C742","CAMP-F8A9DEA29DDEBAC2","CUST06023","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-84FC9FBBC9FF51446C97","CAMP-F8A9DEA29DDEBAC2","CUST06043","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-774184DB65770CDB9642","CAMP-F8A9DEA29DDEBAC2","CUST06045","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-BCF07249B9288B760FF4","CAMP-F8A9DEA29DDEBAC2","CUST06048","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-DB142639DC099C5343FE","CAMP-F8A9DEA29DDEBAC2","CUST06049","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-AAEE3E3D995FFDEE6B53","CAMP-F8A9DEA29DDEBAC2","CUST06062","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-5CDA896CFAABC02A9820","CAMP-F8A9DEA29DDEBAC2","CUST06064","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-F082F962457BEC884021","CAMP-F8A9DEA29DDEBAC2","CUST06068","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-5373B7995B5CA006F58F","CAMP-F8A9DEA29DDEBAC2","CUST06041","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-6935CE025257ED8D4A77","CAMP-F8A9DEA29DDEBAC2","CUST06069","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-73E7497213F57C26F63E","CAMP-F8A9DEA29DDEBAC2","CUST05979","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-F8B1FDDAEC0820F2BB11","CAMP-F8A9DEA29DDEBAC2","CUST05972","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-F0839C2D2586093DD1A0","CAMP-F8A9DEA29DDEBAC2","CUST05901","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-1C98F89A737675E59B72","CAMP-F8A9DEA29DDEBAC2","CUST05905","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-EACFDFD754772DAF23C8","CAMP-F8A9DEA29DDEBAC2","CUST05908","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-E5C45A62E9E76CF24796","CAMP-F8A9DEA29DDEBAC2","CUST05909","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-0ED91DD2C7C2DD59749F","CAMP-F8A9DEA29DDEBAC2","CUST05925","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-8B7E37765E44A004DF32","CAMP-F8A9DEA29DDEBAC2","CUST05929","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-390BDD0D29988624D466","CAMP-F8A9DEA29DDEBAC2","CUST05930","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-90083BEA0D3090AEB625","CAMP-F8A9DEA29DDEBAC2","CUST05974","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-D301DEE28F3C11C07B0C","CAMP-F8A9DEA29DDEBAC2","CUST05931","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-4D000A7650E571D0C2AB","CAMP-F8A9DEA29DDEBAC2","CUST05936","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-69BE3471CD77310C8655","CAMP-F8A9DEA29DDEBAC2","CUST05939","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-C146C25D8DE7D4B960FB","CAMP-F8A9DEA29DDEBAC2","CUST05942","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-20FA48C3AECA86D0E8C3","CAMP-F8A9DEA29DDEBAC2","CUST05944","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-33F74F4AE61345143CFC","CAMP-F8A9DEA29DDEBAC2","CUST05945","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-DD2D92A2BBDC40EA5EB3","CAMP-F8A9DEA29DDEBAC2","CUST05953","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-52C288690260A70DDB37","CAMP-F8A9DEA29DDEBAC2","CUST05964","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-6B26834AD3390BCD6EBE","CAMP-F8A9DEA29DDEBAC2","CUST05935","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-8C632FE32EFEEA9130CA","CAMP-F8A9DEA29DDEBAC2","CUST06071","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-C4E638F55AE1871DA36A","CAMP-F8A9DEA29DDEBAC2","CUST06076","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-F68B93E5A878991CE549","CAMP-F8A9DEA29DDEBAC2","CUST06078","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-4CA47A7EAA7D6487C892","CAMP-F8A9DEA29DDEBAC2","CUST06192","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-9B8E589962279E890E51","CAMP-F8A9DEA29DDEBAC2","CUST06198","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-12E05AA2C55CF687C5EF","CAMP-F8A9DEA29DDEBAC2","CUST06206","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-4C451CC231A6310022E2","CAMP-F8A9DEA29DDEBAC2","CUST06209","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-EA3347F5E4723587EBFA","CAMP-F8A9DEA29DDEBAC2","CUST06215","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-FAD7100C5C95421E623C","CAMP-F8A9DEA29DDEBAC2","CUST06222","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-4C5DEDAA6310F63166B0","CAMP-F8A9DEA29DDEBAC2","CUST06225","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-D17722B2D78C7FE4D399","CAMP-F8A9DEA29DDEBAC2","CUST06191","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-99192288BB8557DF4E52","CAMP-F8A9DEA29DDEBAC2","CUST06243","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-6B417CE09CC91ACBB20D","CAMP-F8A9DEA29DDEBAC2","CUST06253","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-50CF5F971AB1F8ED61C5","CAMP-F8A9DEA29DDEBAC2","CUST06255","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-0371E88B8D73B220E2B7","CAMP-F8A9DEA29DDEBAC2","CUST06258","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-DBC4A89FAFD160044792","CAMP-F8A9DEA29DDEBAC2","CUST06259","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-CCD25B9F39A3D80D826B","CAMP-F8A9DEA29DDEBAC2","CUST06270","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-6FE8DF6B3BBA7A600CC2","CAMP-F8A9DEA29DDEBAC2","CUST06276","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-DDE5CCF20B00B16D8B8F","CAMP-F8A9DEA29DDEBAC2","CUST06277","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-1EC620E2A5AB5C629AC6","CAMP-F8A9DEA29DDEBAC2","CUST06244","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-AFBE48D82BDAFA460268","CAMP-F8A9DEA29DDEBAC2","CUST06185","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-BA8F2BFD24A7C69EF866","CAMP-F8A9DEA29DDEBAC2","CUST06179","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-5FDA369527A19940781F","CAMP-F8A9DEA29DDEBAC2","CUST06165","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-8BABEF7FC734C1B03E36","CAMP-F8A9DEA29DDEBAC2","CUST06080","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-95DCA1C74587C7AF8356","CAMP-F8A9DEA29DDEBAC2","CUST06083","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
"COMM-2997E77D408A5BBF6834","CAMP-F8A9DEA29DDEBAC2","CUST06097","WHATSAPP","WIN_BACK","Reconnect and rediscover value. Offer: Win-back Discount","CREATED","0","2026-06-11T06:49:13Z"
