"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-7B05F2448574CDEFFE56","CAMP-FA689B3B58BE537F","CUST00007","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-2C20215DF5B1860FDDA4","CAMP-FA689B3B58BE537F","CUST05072","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-E135BB44CE2DCC3A98C7","CAMP-FA689B3B58BE537F","CUST05067","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-CA40E4E467786D40AD66","CAMP-FA689B3B58BE537F","CUST05060","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-B16210484AB4DF648B8A","CAMP-FA689B3B58BE537F","CUST05053","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-9F92B649C59EF39D7D05","CAMP-FA689B3B58BE537F","CUST05040","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-F0DA79A4FCAB7453A30C","CAMP-FA689B3B58BE537F","CUST05037","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-38C95DC4DA9B1B9107FC","CAMP-FA689B3B58BE537F","CUST05030","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-EBEE7886325307042F15","CAMP-FA689B3B58BE537F","CUST05029","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-A9F85DC56C9026760417","CAMP-FA689B3B58BE537F","CUST05021","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-BCB3DB7F433A52194236","CAMP-FA689B3B58BE537F","CUST05001","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-7B2F4D72785361CDF74C","CAMP-FA689B3B58BE537F","CUST05074","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-D72CD700190B78C95FC6","CAMP-FA689B3B58BE537F","CUST04997","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-91B4018086A0A777F49E","CAMP-FA689B3B58BE537F","CUST04993","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-C17BB03C996ED6F8436B","CAMP-FA689B3B58BE537F","CUST04982","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-6623A8ED15D96166263F","CAMP-FA689B3B58BE537F","CUST04967","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-30CA69ACCE95C96F3A9F","CAMP-FA689B3B58BE537F","CUST04954","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-D452E4F7067A91870698","CAMP-FA689B3B58BE537F","CUST04950","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-F1638C350456773F265C","CAMP-FA689B3B58BE537F","CUST04948","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-3CB9C23EE35FFE53C8F2","CAMP-FA689B3B58BE537F","CUST04944","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-99709CD2DF52BB7E0C52","CAMP-FA689B3B58BE537F","CUST04941","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-F99CE6433FD93609656F","CAMP-FA689B3B58BE537F","CUST04939","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-8B105322C48926D0DDE3","CAMP-FA689B3B58BE537F","CUST09998","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-DA1FD675506C5147490C","CAMP-FA689B3B58BE537F","CUST04994","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-D7F68842B97E17D4C33D","CAMP-FA689B3B58BE537F","CUST04920","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-2A802CF88864D0F77A88","CAMP-FA689B3B58BE537F","CUST05080","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-033F56C2E7B50F53F6F6","CAMP-FA689B3B58BE537F","CUST05083","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-1A3C0317DA4EA4BDFC94","CAMP-FA689B3B58BE537F","CUST05331","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-049809280A896270EE29","CAMP-FA689B3B58BE537F","CUST05325","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-E09BD73636470C1DCAA2","CAMP-FA689B3B58BE537F","CUST05323","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-70C1CFE08655627AD812","CAMP-FA689B3B58BE537F","CUST05310","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
"COMM-35F4EC8AB987DD0908E0","CAMP-FA689B3B58BE537F","CUST05267","WHATSAPP","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-11T00:35:30Z"
