"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-9BC6B79AED9C905F988F","CAMP-FDB8460E2086718C","CUST00001","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-33982540D62D29A40D7F","CAMP-FDB8460E2086718C","CUST05964","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-F61802A9B6D17E5145E2","CAMP-FDB8460E2086718C","CUST05962","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-D9B53DA7E1206985630E","CAMP-FDB8460E2086718C","CUST05960","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-4D56F60125055D2BFCB5","CAMP-FDB8460E2086718C","CUST05953","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-3CC22B38A985C0C60091","CAMP-FDB8460E2086718C","CUST05951","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-0BC3B8FC9566E5B78B8A","CAMP-FDB8460E2086718C","CUST05946","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-3C302DE831A0968145C0","CAMP-FDB8460E2086718C","CUST05945","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-9686D5BF70AE95092238","CAMP-FDB8460E2086718C","CUST05944","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-AAAEE4A00D4B5E885E70","CAMP-FDB8460E2086718C","CUST05943","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-2069E7C260A931FF6D16","CAMP-FDB8460E2086718C","CUST05942","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-5DAC640EB73ED1E897AE","CAMP-FDB8460E2086718C","CUST05940","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-FC510F2FCC636224C63E","CAMP-FDB8460E2086718C","CUST05939","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-CD326B62A402DD3AA9F7","CAMP-FDB8460E2086718C","CUST05938","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-9031FD2B721CEB055260","CAMP-FDB8460E2086718C","CUST05937","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-3017D3ED0AEFCDFB0D54","CAMP-FDB8460E2086718C","CUST05936","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-C2E94A5998E062804C13","CAMP-FDB8460E2086718C","CUST05935","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-00FEEEA1C673AF43EFDF","CAMP-FDB8460E2086718C","CUST05934","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-009946658F363C5F3EEF","CAMP-FDB8460E2086718C","CUST05933","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-A24A410F81FB23BC5EF7","CAMP-FDB8460E2086718C","CUST05931","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-EB1E0ED75518D9CD831E","CAMP-FDB8460E2086718C","CUST05930","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-D8850973DCB561F1803C","CAMP-FDB8460E2086718C","CUST05929","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-D09DAD6E875A3BF01511","CAMP-FDB8460E2086718C","CUST05966","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-041824AEB5618D385185","CAMP-FDB8460E2086718C","CUST05927","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-2077D348D8C91B9DFCC9","CAMP-FDB8460E2086718C","CUST05967","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-D0542B22F5ACCDE5CA60","CAMP-FDB8460E2086718C","CUST05971","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-BFA4A2F3934285CCD45C","CAMP-FDB8460E2086718C","CUST06010","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-F43AD3050D542AA9A5E5","CAMP-FDB8460E2086718C","CUST06009","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-760DCC8260DEBCE4895A","CAMP-FDB8460E2086718C","CUST06008","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-84A2584F9AFF9D0CEDFF","CAMP-FDB8460E2086718C","CUST06007","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-264B69331BBB39EA3D48","CAMP-FDB8460E2086718C","CUST06006","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-EC688790CA4443443EA5","CAMP-FDB8460E2086718C","CUST06004","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-A0EF91C2493CFA372D12","CAMP-FDB8460E2086718C","CUST05996","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-D3049F43748C37BB4F6C","CAMP-FDB8460E2086718C","CUST05993","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-F1F4ED7F11DA80FC7D2D","CAMP-FDB8460E2086718C","CUST05992","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-84B8752532BAA5599B33","CAMP-FDB8460E2086718C","CUST05989","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-83287720403A1D76CF77","CAMP-FDB8460E2086718C","CUST05988","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-D476227EC4FAAA27FDA6","CAMP-FDB8460E2086718C","CUST05987","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-B70C712771645A4C2CB4","CAMP-FDB8460E2086718C","CUST05985","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-1E2DBB0EA7F59B3BF2F1","CAMP-FDB8460E2086718C","CUST05984","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-BFB3CF550C0096E83700","CAMP-FDB8460E2086718C","CUST05983","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-177896FD581D05D12DA5","CAMP-FDB8460E2086718C","CUST05982","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-9B57BE18ABBF863AE70E","CAMP-FDB8460E2086718C","CUST05980","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-4017E32D994A1E2F0EF8","CAMP-FDB8460E2086718C","CUST05979","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-E22539A2316F5A6868FC","CAMP-FDB8460E2086718C","CUST05974","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-23A9D47695E9B9E02A42","CAMP-FDB8460E2086718C","CUST05973","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-CAB3840910E5F79444D6","CAMP-FDB8460E2086718C","CUST05972","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-2C52DEF759538A7FFAC3","CAMP-FDB8460E2086718C","CUST05968","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-04DE79323025E242BC09","CAMP-FDB8460E2086718C","CUST06011","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-7E4A94B396EEEE7256C2","CAMP-FDB8460E2086718C","CUST05926","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-E19DB749E9E9B2D432F2","CAMP-FDB8460E2086718C","CUST05923","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-19943ECE60AB6B5597F3","CAMP-FDB8460E2086718C","CUST05876","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
"COMM-A95C674AEB06FAC21DC7","CAMP-FDB8460E2086718C","CUST05875","EMAIL","RECOMMENDATION","Discover products tailored to your interests. Offer: Loyalty Reward","CREATED","0","2026-06-11T05:47:19Z"
