"communication_id","campaign_id","customer_id","channel","campaign_type","message","status","retry_count","created_at"
"COMM-732FD5846C26F658D7D4","CAMP-FE4505C326DFC03E","CUST00007","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-2DD6C9B4454E8F694BDB","CAMP-FE4505C326DFC03E","CUST05072","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-31A9A715CCD35A09CD59","CAMP-FE4505C326DFC03E","CUST05067","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-99E8E1C332DBDB1A29F4","CAMP-FE4505C326DFC03E","CUST05060","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-9C30B0C3DF4B1019A795","CAMP-FE4505C326DFC03E","CUST05053","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-D5771AE69DF6303ADC60","CAMP-FE4505C326DFC03E","CUST05040","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-0A246E75BB273911455D","CAMP-FE4505C326DFC03E","CUST05037","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-7BF0703C8CEDBC76BCD6","CAMP-FE4505C326DFC03E","CUST05030","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-C2863C92ADFD637B46D7","CAMP-FE4505C326DFC03E","CUST05029","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-E4326F9458427BC15A15","CAMP-FE4505C326DFC03E","CUST05021","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-6C54140D218FF5A7CC1B","CAMP-FE4505C326DFC03E","CUST05001","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-6CC55DCE6987C7E85107","CAMP-FE4505C326DFC03E","CUST05074","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-F2866EE57492688FC7FA","CAMP-FE4505C326DFC03E","CUST04997","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
"COMM-BB610A0CDEF002E1404C","CAMP-FE4505C326DFC03E","CUST04993","EMAIL","NURTURE","Continue building long-term relationships. Offer: Loyalty Reward","CREATED","0","2026-06-14T03:08:05Z"
