customer_id,persona,is_story_customer,story_customer_id,recency_days,frequency,monetary,avg_order_value,max_order_value,min_order_value,total_quantity,avg_discount_pct,discount_usage_rate,website_orders_pct,app_orders_pct,whatsapp_orders_pct,preferred_payment_method,baby_care_orders,family_essentials_orders,wellness_orders,self_care_orders,nutrition_orders,favorite_category,customer_tenure_days,days_since_last_order,avg_days_between_orders,orders_per_month,story_type,journey_stage,engagement_level
CUST00001,Wellness Seekers,0,,139,4,3034.45,758.6125,887.4,645.05,5,6.25,0.75,0.5,0.5,0.0,UPI,0,0,4,0,0,Wellness,492,139,113.0,0.244,UNKNOWN,UNKNOWN,UNKNOWN
CUST00002,Premium Self-Care,0,,82,4,4623.0,1155.75,2488.0,486.0,6,0.0,0.0,0.25,0.5,0.25,CARD,0,0,4,0,0,Wellness,522,82,42.0,0.23,UNKNOWN,UNKNOWN,UNKNOWN
CUST00003,Premium Self-Care,0,,50,6,5817.3,969.5500000000001,2488.0,359.0,9,5.833333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,CARD,0,0,6,0,0,Wellness,628,50,87.4,0.287,UNKNOWN,UNKNOWN,UNKNOWN
CUST00004,New Parents,0,,2,10,9874.15,987.415,2143.2,478.4,22,7.0,0.6,0.6,0.4,0.0,CARD,2,6,2,0,0,Family Essentials,313,2,34.22222222222222,0.958,UNKNOWN,UNKNOWN,UNKNOWN
CUST00005,Wellness Seekers,0,,60,3,2931.6,977.1999999999999,1146.0,666.0,5,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,CARD,0,0,3,0,0,Wellness,413,60,162.0,0.218,UNKNOWN,UNKNOWN,UNKNOWN
CUST00006,Seasoned Parents,0,,20,4,2733.4,683.35,1375.0,309.6,4,5.0,0.75,0.25,0.5,0.25,COD,0,4,0,0,0,Family Essentials,134,20,26.333333333333332,0.896,UNKNOWN,UNKNOWN,UNKNOWN
CUST00007,Budget Families,0,,4,8,7290.0,911.25,1798.6,309.6,13,20.625,1.0,0.375,0.5,0.125,UPI,0,7,1,0,0,Family Essentials,736,4,87.71428571428571,0.326,UNKNOWN,UNKNOWN,UNKNOWN
CUST00008,Seasoned Parents,0,,21,12,11345.35,945.4458333333333,2612.5,311.6,20,10.0,0.8333333333333334,0.3333333333333333,0.4166666666666667,0.25,UPI,6,5,1,0,0,Baby Care,285,21,23.818181818181817,1.263,UNKNOWN,UNKNOWN,UNKNOWN
CUST00009,Seasoned Parents,0,,7,9,7985.0,887.2222222222222,1282.5,281.6,18,7.777777777777778,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.1111111111111111,UPI,0,6,3,0,0,Family Essentials,203,7,21.75,1.33,UNKNOWN,UNKNOWN,UNKNOWN
CUST00010,Dormant Customers,0,,69,2,691.0,345.5,409.6,281.4,2,25.0,1.0,0.5,0.5,0.0,COD,0,1,1,0,0,Family Essentials,206,69,96.0,0.291,UNKNOWN,UNKNOWN,UNKNOWN
CUST00011,Wellness Seekers,0,,14,3,1391.7,463.90000000000003,515.7,435.2,3,15.0,1.0,0.0,1.0,0.0,CARD,0,0,3,0,0,Wellness,118,14,2.0,0.763,UNKNOWN,UNKNOWN,UNKNOWN
CUST00012,Wellness Seekers,0,,27,10,7500.0,750.0,1085.4,437.6,16,11.0,0.9,0.4,0.5,0.1,UPI,0,2,8,0,0,Wellness,228,27,16.666666666666668,1.316,UNKNOWN,UNKNOWN,UNKNOWN
CUST00013,Dormant Customers,0,,1,4,3651.8,912.95,1030.5,734.0,5,10.0,0.5,0.5,0.25,0.25,UPI,1,2,1,0,0,Family Essentials,86,1,28.0,1.395,UNKNOWN,UNKNOWN,UNKNOWN
CUST00014,Premium Self-Care,0,,157,5,5067.7,1013.54,1424.0,461.7,8,3.0,0.6,0.4,0.2,0.4,CARD,0,0,5,0,0,Wellness,522,157,80.75,0.287,UNKNOWN,UNKNOWN,UNKNOWN
CUST00015,Seasoned Parents,0,,49,9,5088.7,565.411111111111,1206.0,250.8,15,5.555555555555555,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,UPI,2,3,4,0,0,Wellness,393,49,41.5,0.687,UNKNOWN,UNKNOWN,UNKNOWN
CUST00016,Budget Families,0,,101,8,8775.8,1096.975,3195.8,516.0,20,15.0,1.0,0.75,0.25,0.0,COD,1,7,0,0,0,Family Essentials,750,101,78.0,0.32,UNKNOWN,UNKNOWN,UNKNOWN
CUST00017,Wellness Seekers,0,,72,6,4436.35,739.3916666666668,1236.6,416.5,10,10.0,0.8333333333333334,0.0,0.6666666666666666,0.3333333333333333,UPI,0,0,6,0,0,Wellness,755,72,124.2,0.238,UNKNOWN,UNKNOWN,UNKNOWN
CUST00018,Wellness Seekers,0,,87,4,4514.6,1128.65,2408.0,344.0,5,2.5,0.25,0.25,0.75,0.0,UPI,0,1,3,0,0,Wellness,585,87,110.0,0.205,UNKNOWN,UNKNOWN,UNKNOWN
CUST00019,Wellness Seekers,0,,22,3,2225.05,741.6833333333334,1068.0,512.0,4,10.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,CARD,0,0,3,0,0,Wellness,683,22,255.0,0.132,UNKNOWN,UNKNOWN,UNKNOWN
CUST00020,Wellness Seekers,0,,87,9,7968.3,885.3666666666667,1638.8,316.8,12,9.444444444444445,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.0,CARD,0,3,6,0,0,Wellness,570,87,55.875,0.474,UNKNOWN,UNKNOWN,UNKNOWN
CUST00021,New Parents,0,,2,8,8706.2,1088.275,2750.0,311.6,13,8.75,0.75,0.25,0.375,0.375,UPI,2,3,3,0,0,Family Essentials,627,2,82.0,0.383,UNKNOWN,UNKNOWN,UNKNOWN
CUST00022,Budget Families,0,,69,4,4302.05,1075.5125,1711.05,530.4,10,16.25,1.0,0.5,0.5,0.0,COD,3,1,0,0,0,Baby Care,739,69,41.333333333333336,0.162,UNKNOWN,UNKNOWN,UNKNOWN
CUST00023,Wellness Seekers,0,,10,8,5811.0,726.375,1394.85,348.0,11,3.75,0.375,0.375,0.625,0.0,UPI,0,0,8,0,0,Wellness,100,10,9.142857142857142,2.4,UNKNOWN,UNKNOWN,UNKNOWN
CUST00024,Seasoned Parents,0,,49,5,8052.2,1610.44,4400.0,409.6,12,13.0,0.8,0.6,0.2,0.2,UPI,2,1,2,0,0,Baby Care,754,49,124.25,0.199,UNKNOWN,UNKNOWN,UNKNOWN
CUST00025,Dormant Customers,0,,168,1,593.6,593.6,593.6,593.6,2,20.0,1.0,1.0,0.0,0.0,COD,1,0,0,0,0,Baby Care,223,168,0.0,0.135,UNKNOWN,UNKNOWN,UNKNOWN
CUST00026,Premium Self-Care,0,,150,3,2467.6,822.5333333333333,1146.0,598.0,5,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,CARD,0,1,2,0,0,Wellness,644,150,242.5,0.14,UNKNOWN,UNKNOWN,UNKNOWN
CUST00027,Seasoned Parents,0,,33,4,2539.6,634.9,1116.0,295.8,7,5.0,0.5,0.25,0.5,0.25,CARD,1,1,2,0,0,Wellness,98,33,19.666666666666668,1.224,UNKNOWN,UNKNOWN,UNKNOWN
CUST00028,Budget Families,0,,6,9,8207.8,911.9777777777776,3359.2,239.7,22,15.0,1.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,UPI,3,5,1,0,0,Family Essentials,113,6,9.625,2.389,UNKNOWN,UNKNOWN,UNKNOWN
CUST00029,New Parents,0,,66,6,3925.25,654.2083333333334,1278.4,372.6,9,9.166666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,UPI,3,2,1,0,0,Baby Care,277,66,39.6,0.65,UNKNOWN,UNKNOWN,UNKNOWN
CUST00030,Budget Families,0,,158,4,5511.3,1377.825,3015.3,700.8,12,13.75,1.0,0.75,0.25,0.0,UPI,0,4,0,0,0,Family Essentials,265,158,29.666666666666668,0.453,UNKNOWN,UNKNOWN,UNKNOWN
CUST00031,Wellness Seekers,0,,74,6,4856.55,809.4250000000001,1244.0,438.0,8,8.333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,UPI,1,1,4,0,0,Wellness,756,74,101.2,0.238,UNKNOWN,UNKNOWN,UNKNOWN
CUST00032,Premium Self-Care,0,,5,7,5323.35,760.4785714285715,1458.0,359.0,12,2.857142857142857,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.14285714285714285,CARD,0,0,7,0,0,Wellness,42,5,5.333333333333333,5.0,UNKNOWN,UNKNOWN,UNKNOWN
CUST00033,Seasoned Parents,0,,1,12,21703.0,1808.5833333333333,5500.0,277.4,28,6.666666666666667,0.5833333333333334,0.4166666666666667,0.5,0.08333333333333333,UPI,3,6,3,0,0,Family Essentials,124,1,11.0,2.903,UNKNOWN,UNKNOWN,UNKNOWN
CUST00034,Seasoned Parents,0,,20,11,12738.8,1158.0727272727272,2167.2,433.5,22,8.181818181818182,0.6363636363636364,0.6363636363636364,0.18181818181818182,0.18181818181818182,UPI,1,5,5,0,0,Family Essentials,111,20,9.1,2.973,UNKNOWN,UNKNOWN,UNKNOWN
CUST00035,Premium Self-Care,0,,41,2,1084.0,542.0,598.0,486.0,2,0.0,0.0,0.0,0.5,0.5,CARD,0,0,2,0,0,Wellness,273,41,151.0,0.22,UNKNOWN,UNKNOWN,UNKNOWN
CUST00036,Wellness Seekers,0,,94,4,2466.6,616.65,1136.2,359.0,5,10.0,0.75,0.75,0.0,0.25,UPI,0,0,4,0,0,Wellness,515,94,125.0,0.233,UNKNOWN,UNKNOWN,UNKNOWN
CUST00037,Budget Families,0,,7,11,16350.85,1486.4409090909091,3359.2,204.4,27,20.90909090909091,1.0,0.2727272727272727,0.6363636363636364,0.09090909090909091,CARD,1,10,0,0,0,Family Essentials,112,7,10.1,2.946,UNKNOWN,UNKNOWN,UNKNOWN
